V1,V2,Gene1,Gene2
P05019,P08069,IGF1,IGF1R
P58340,Q9UNS2,MLF1,COPS3
P48061,P61073,CXCL12,CXCR4
P08069,P29353,IGF1R,SHC1
A0A024R328,P08069,PRKCD,IGF1R
P08311,P55210,CTSG,CASP7
J3KN16,P35998,ECPAS,PSMC2
P43351,P46783,RAD52,RPS10
P23258,P46783,TUBG1,RPS10
Q9C035,Q9UK80,TRIM5,USP21
Q9BYJ4,Q9C035,TRIM34,TRIM5
Q7Z7H8,Q9P015,MRPL10,MRPL15
O15260,Q5SSJ5,SURF4,HP1BP3
P23258,P55084,TUBG1,HADHB
O00115,P0CG48,DNASE2,UBC
P23258,Q92930,TUBG1,RAB8B
P62837,Q9C035,UBE2D2,TRIM5
O95379,Q8NBZ0,TNFAIP8,INO80E
P34947,P35998,GRK5,PSMC2
A0A024R3Z2,Q9UNS2,SUMO1,COPS3
A0A024R3Z2,Q9C035,SUMO1,TRIM5
P0CG48,P28360,UBC,MSX1
O75362,P0CG48,ZNF217,UBC
Q9UNS2,Q9Y4B6,COPS3,DCAF1
P0CG48,P13674,UBC,P4HA1
P09601,P0CG48,HMOX1,UBC
Q15843,Q96G21,NEDD8,IMP4
P0CG48,Q5SSJ5,UBC,HP1BP3
A0A024R5E6,Q9C035,MAP3K11,TRIM5
P23258,Q06323,TUBG1,PSME1
A4D275,P23258,ARPC1B,TUBG1
O43303,P23258,CCP110,TUBG1
P23258,Q96Q15,TUBG1,SMG1
O95816,P23258,BAG2,TUBG1
P23258,P27708,TUBG1,CAD
P23258,P78371,TUBG1,CCT2
P23258,Q59H77,TUBG1,CCT3
P23258,P62269,TUBG1,RPS18
P23258,Q08554,TUBG1,DSC1
A0A0A6YYL6,P23258,RPL17-C18orf32,TUBG1
P23258,Q71UI9,TUBG1,H2AFV
P23258,Q96BA7,TUBG1,HNRNPU
P23258,P38646,TUBG1,HSPA9
A0A024R3X4,P23258,HSPD1,TUBG1
O14654,P23258,IRS4,TUBG1
P23258,Q16787,TUBG1,LAMA3
P23258,P36776,TUBG1,LONP1
A0A024R952,P23258,PKP1,TUBG1
P23258,P40429,TUBG1,RPL13A
P23258,Q9UNX3,TUBG1,RPL26L1
P23258,P62899,TUBG1,RPL31
P18124,P23258,RPL7,TUBG1
P08708,P23258,RPS17,TUBG1
P23258,Q9Y5L4,TUBG1,TIMM13
P23258,Q8IZJ1,TUBG1,UNC5B
P23258,Q9NTK5,TUBG1,OLA1
P00533,P23258,EGFR,TUBG1
P23258,Q9NS23,TUBG1,RASSF1
P07498,P23258,CSN3,TUBG1
P23258,Q13363,TUBG1,CTBP1
P0CG48,Q6NYC1,UBC,JMJD6
O00325,P32320,PTGER3,CDA
G5EA09,P32320,SDCBP,CDA
P32320,Q96CS7,CDA,PLEKHB2
P0CG48,P23258,UBC,TUBG1
P0CG48,Q9C035,UBC,TRIM5
P0CG48,P61073,UBC,CXCR4
P0CG48,Q9UNS2,UBC,COPS3
O75489,P0CG48,NDUFS3,UBC
A0A024R475,P13674,CUL3,P4HA1
P13674,Q92985,P4HA1,IRF7
A0A024R7W9,Q9P015,COPS5,MRPL15
P0CG48,P35998,UBC,PSMC2
O15524,P23258,SOCS1,TUBG1
P23258,Q9GZM8,TUBG1,NDEL1
P23258,P39060,TUBG1,COL18A1
P23258,Q96SN8,TUBG1,CDK5RAP2
P23258,P48431,TUBG1,SOX2
P23258,Q99832,TUBG1,CCT7
P23258,P40227,TUBG1,CCT6A
P23258,Q9Y3Z3,TUBG1,SAMHD1
P23258,P48643,TUBG1,CCT5
A0A024R9P0,P23258,CEP27,TUBG1
A0A024RBE5,P23258,NEDD1,TUBG1
P09038,P23258,FGF2,TUBG1
P23258,Q9BW61,TUBG1,DDA1
P23258,P68104,TUBG1,EEF1A1
P15924,P23258,DSP,TUBG1
A0A024R9Y7,P23258,MAGED2,TUBG1
P23258,Q05639,TUBG1,EEF1A2
P07900,P23258,HSP90AA1,TUBG1
A0A024RD80,P23258,HSP90AB1,TUBG1
P23258,Q53HF2,TUBG1,HSPA8
A0A024R8L0,P23258,MRPS7,TUBG1
A2RUM7,P23258,RPL5,TUBG1
P23258,P62906,TUBG1,RPL10A
B1AQP2,P23258,PFDN2,TUBG1
A0A024RBK3,P23258,RPL6,TUBG1
P23258,P62263,TUBG1,RPS14
A0A024RBS2,P23258,RPLP0,TUBG1
P23258,P23396,TUBG1,RPS3
P23258,P62841,TUBG1,RPS15
B2ZZ89,P23258,SPTBN1,TUBG1
P23258,P61247,TUBG1,RPS3A
A2A3R6,P23258,RPS6,TUBG1
P23258,Q9BSJ2,TUBG1,TUBGCP2
P04637,P23258,TP53,TUBG1
P23258,Q76KD6,TUBG1,SPATC1
O60260,P23258,PRKN,TUBG1
O95379,Q12974,TNFAIP8,PTP4A2
P23258,Q5TGZ0,TUBG1,MINOS1
A0A024RB77,P23258,CDK2,TUBG1
P60369,Q9UGN4,KRTAP10-3,CD300A
O00115,P23921,DNASE2,RRM1
P35998,Q9NRC8,PSMC2,SIRT7
P48431,Q9UNS2,SOX2,COPS3
P48431,Q9P015,SOX2,MRPL15
P55072,Q9UNS2,VCP,COPS3
O95379,Q9H8W4,TNFAIP8,PLEKHF2
A0A024QYU9,Q9P015,EIF3S8,MRPL15
Q5JR59,Q92608,MTUS2,DOCK2
P60331,Q92608,KRTAP10-1,DOCK2
P60369,Q92608,KRTAP10-3,DOCK2
Q13177,Q92608,PAK2,DOCK2
P0CG48,Q92608,UBC,DOCK2
O95259,Q96HA8,KCNH1,WDYHV1
G5E962,Q96HA8,MAGEA11,WDYHV1
A0A024RDV8,Q96HA8,TSC22D1,WDYHV1
B4E3T4,Q96HA8,RBPMS,WDYHV1
Q96HA8,Q9NVV9,WDYHV1,THAP1
Q96HA8,Q9UH03,WDYHV1,SEPT3
Q68D86,Q96HA8,CCDC102B,WDYHV1
Q8WWZ3,Q96HA8,EDARADD,WDYHV1
O43439,Q96HA8,CBFA2T2,WDYHV1
A0A024R5I2,O43353,PELI3,RIPK2
P28360,P56178,MSX1,DLX5
Q13216,Q9UNS2,ERCC8,COPS3
P35998,P63220,PSMC2,RPS21
P09601,Q9BUN8,HMOX1,DERL1
O95721,P08069,SNAP29,IGF1R
P08571,Q9NP61,CD14,ARFGAP3
Q96HA8,Q9HCD5,WDYHV1,NCOA5
P35998,Q9UKV5,PSMC2,AMFR
P35998,P60896,PSMC2,SEM1
Q14197,Q9P015,MRPL58,MRPL15
O75489,Q14197,NDUFS3,MRPL58
Q69YH5,Q6NYC1,CDCA2,JMJD6
O95379,P56537,TNFAIP8,EIF6
B3KNV5,P08069,SH2B1,IGF1R
B4DXM8,P08069,PIK3R3; LOC110117498-PIK3R3,IGF1R
P08069,Q9UKW4,IGF1R,VAV3
P08069,P20936,IGF1R,RASA1
P00533,P08069,EGFR,IGF1R
P04626,P08069,ERBB2,IGF1R
A0A024R3Z2,P08069,SUMO1,IGF1R
P04637,P08069,TP53,IGF1R
P08069,Q13322,IGF1R,GRB10
P08069,P0CG48,IGF1R,UBC
P08069,P32121,IGF1R,ARRB2
P63208,Q9UNS2,SKP1,COPS3
P23258,P63208,TUBG1,SKP1
O43242,P35998,PSMD3,PSMC2
P23258,Q8WUM4,TUBG1,PDCD6IP
B2RBV7,Q9UNS2,-,COPS3
P23258,Q9H306,TUBG1,MMP27
A0A024R9W5,P35998,HUWE1,PSMC2
P04406,P43351,GAPDH,RAD52
Q15048,Q9UNS2,LRRC14,COPS3
P57775,Q9UNS2,FBXW4,COPS3
Q12872,Q6NYC1,SFSWAP,JMJD6
A0A024R763,Q9UNS2,IRF5,COPS3
P23258,P35268,TUBG1,RPL22
Q9BW61,Q9UNS2,DDA1,COPS3
Q5SSJ5,Q9NRC8,HP1BP3,SIRT7
B2R4W8,P23258,RPS15A,TUBG1
Q15645,Q96HA8,TRIP13,WDYHV1
P04424,Q96HA8,ASL,WDYHV1
O75553,Q96HA8,DAB1,WDYHV1
A0A024R7E9,Q96HA8,DHPS,WDYHV1
A0A024R525,Q96HA8,FTH1,WDYHV1
A0A087X1W2,Q96HA8,PRMT1,WDYHV1
P11908,Q96HA8,PRPS2,WDYHV1
P11217,Q96HA8,PYGM,WDYHV1
