V1,V2,Gene1,Gene2
P05067,P17752,APP,TPH1
Q13501,Q9ULZ3,SQSTM1,PYCARD
P00441,Q99497,SOD1,PARK7
P14416,P29274,DRD2,ADORA2A
P24386,P62820,CHM,RAB1A
O75364,Q99497,PITX3,PARK7
P36543,Q9H9B4,ATP6V1E1,SFXN1
P47985,Q9H9B4,UQCRFS1,SFXN1
Q05940,Q99497,SLC18A2,PARK7
O60260,Q15008,PRKN,PSMD6
P09936,Q9NYB0,UCHL1,TERF2IP
O60260,P09936,PRKN,UCHL1
O60260,P04062,PRKN,GBA
P05067,Q00535,APP,CDK5
O60260,P05067,PRKN,APP
O60260,Q9UNE7,PRKN,STUB1
O00232,O60260,PSMD12,PRKN
O60260,P62195,PRKN,PSMC5
O60260,Q13501,PRKN,SQSTM1
O00232,P62195,PSMD12,PSMC5
O00232,Q13501,PSMD12,SQSTM1
O00232,O43396,PSMD12,TXNL1
P31040,P47985,SDHA,UQCRFS1
P31040,P40925,SDHA,MDH1
P31040,Q13501,SDHA,SQSTM1
O60260,Q13224,PRKN,GRIN2B
O60260,P62333,PRKN,PSMC6
O43396,P62333,TXNL1,PSMC6
O00232,P62333,PSMD12,PSMC6
O76070,Q9NYB0,SNCG,TERF2IP
P05067,P40261,APP,NNMT
P39905,P56159,GDNF,GFRA1
Q99497,Q9UNE7,PARK7,STUB1
P05067,Q9UNE7,APP,STUB1
P05067,Q16143,APP,SNCB
P15559,Q9UNE7,NQO1,STUB1
P00441,P62937,SOD1,PPIA
P00441,Q9UNE7,SOD1,STUB1
O00232,Q15008,PSMD12,PSMD6
P40925,Q9NYB0,MDH1,TERF2IP
Q8IUQ4,Q969T4,SIAH1,UBE2E3
P62333,Q9BXM7,PSMC6,PINK1
Q9BXM7,Q9Y6H5,PINK1,SNCAIP
O60260,Q9BXM7,PRKN,PINK1
O43181,P05067,NDUFS4,APP
O43181,Q9P015,NDUFS4,MRPL15
O43181,O60260,NDUFS4,PRKN
P03886,Q99497,MT-ND1,PARK7
P05067,P62937,APP,PPIA
P41594,Q8IUQ4,GRM5,SIAH1
P11177,P20073,PDHB,ANXA7
Q99497,Q9BXM7,PARK7,PINK1
P42858,Q8IUQ4,HTT,SIAH1
P42858,Q13501,HTT,SQSTM1
P21728,Q9Y5N1,DRD1,HRH3
P42858,P62195,HTT,PSMC5
O60260,Q99700,PRKN,ATXN2
Q9NV58,Q9Y6H5,RNF19A,SNCAIP
Q13501,Q16539,SQSTM1,MAPK14
P15498,Q8IUQ4,VAV1,SIAH1
Q8IUQ4,Q9Y6H5,SIAH1,SNCAIP
P62333,Q8IUQ4,PSMC6,SIAH1
P62195,Q8IUQ4,PSMC5,SIAH1
P21281,P36543,ATP6V1B2,ATP6V1E1
P05067,P36543,APP,ATP6V1E1
P05067,P23560,APP,BDNF
P00441,Q9NV58,SOD1,RNF19A
P61764,Q13501,STXBP1,SQSTM1
O43396,Q13501,TXNL1,SQSTM1
P55211,Q13501,CASP9,SQSTM1
P05067,P45983,APP,MAPK8
P04040,P05067,CAT,APP
P42574,P45983,CASP3,MAPK8
P05067,Q9NSE4,APP,IARS2
P09936,Q00535,UCHL1,CDK5
O15354,O60260,GPR37,PRKN
P05067,Q96QK1,APP,VPS35
P05067,P11137,APP,MAP2
P05067,P61764,APP,STXBP1
P05067,P38646,APP,HSPA9
P00441,P15531,SOD1,NME1
P11473,P60520,VDR,GABARAPL2
P11473,P62195,VDR,PSMC5
P11137,P62195,MAP2,PSMC5
P01213,P05067,PDYN,APP
O60260,P38646,PRKN,HSPA9
O60260,Q00535,PRKN,CDK5
O60260,Q01959,PRKN,SLC6A3
O60260,Q99497,PRKN,PARK7
