V1,V2,Gene1,Gene2
P36543,Q9H9B4,ATP6V1E1,SFXN1
P47985,Q9H9B4,UQCRFS1,SFXN1
O00232,P62195,PSMD12,PSMC5
O00232,O43396,PSMD12,TXNL1
P31040,P47985,SDHA,UQCRFS1
P31040,P40925,SDHA,MDH1
O43396,P62333,TXNL1,PSMC6
O00232,P62333,PSMD12,PSMC6
O00232,Q15008,PSMD12,PSMD6
P40925,Q9NYB0,MDH1,TERF2IP
P11177,P20073,PDHB,ANXA7
P21281,P36543,ATP6V1B2,ATP6V1E1
O00442,O14874,RTCA,BCKDK
P11473,P60520,VDR,GABARAPL2
P11473,P62195,VDR,PSMC5
O60739,P54577,EIF1B,YARS
O94972,Q969T4,TRIM37,UBE2E3
P61266,P61764,STX1B,STXBP1
O14818,P62195,PSMA7,PSMC5
O14818,P62333,PSMA7,PSMC6
O14818,Q15008,PSMA7,PSMD6
O00232,O14818,PSMD12,PSMA7
P37840,Q99497,SNCA,PARK7
P61266,P61764,STX1B,STXBP1
P67775,Q13541,PPP2CA,EIF4EBP1
O60641,P42566,SNAP91,EPS15
P22695,Q9NQC3,UQCRC2,RTN4
P31930,Q9NQC3,UQCRC1,RTN4
O14976,Q5S007,GAK,LRRK2
P54577,P60520,YARS,GABARAPL2
O00232,Q15008,PSMD12,PSMD6
P62195,P62333,PSMC5,PSMC6
P62333,Q15008,PSMC6,PSMD6
P10636,Q5S007,MAPT,LRRK2
P10636,Q5S007,MAPT,LRRK2
O14966,Q5S007,RAB29,LRRK2
P15531,Q9Y3F4,NME1,STRAP
P62195,Q15008,PSMC5,PSMD6
O43396,Q15008,TXNL1,PSMD6
P37840,Q5S007,SNCA,LRRK2
P11177,P20073,PDHB,ANXA7
P22695,P31930,UQCRC2,UQCRC1
