#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
445773	120892	5071	125700	111105	-	KB-152G3.1	LRRK2	PARK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AR-JP|LPRS2|PDJ|PRKN	Affinity Capture-Western	physical	Smith WW (2005)	16352719	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
445774	5071	120892	111105	125700	KB-152G3.1	-	PARK2	LRRK2	AR-JP|LPRS2|PDJ|PRKN	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Smith WW (2005)	16352719	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
449006	6622	120892	112506	125700	-	-	SNCA	LRRK2	NACP|PARK1|PARK4|PD1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Qing H (2009)	19878656	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
449007	120892	6622	125700	112506	-	-	LRRK2	SNCA	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	NACP|PARK1|PARK4|PD1	Affinity Capture-Western	physical	Qing H (2009)	19878656	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
546906	120892	10273	125700	115563	-	LA16c-313D11.6	LRRK2	STUB1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Ko HS (2009)	19196961	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
546907	10273	120892	115563	125700	LA16c-313D11.6	-	STUB1	LRRK2	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Ko HS (2009)	19196961	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590078	10273	120892	115563	125700	LA16c-313D11.6	-	STUB1	LRRK2	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Ding X (2009)	19536328	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590079	120892	10273	125700	115563	-	LA16c-313D11.6	LRRK2	STUB1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CHIP|HSPABP2|NY-CO-7|SCAR16|SDCCAG7|UBOX1	Affinity Capture-Western	physical	Ding X (2009)	19536328	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590080	3320	120892	109552	125700	-	-	HSP90AA1	LRRK2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Ding X (2009)	19536328	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
590081	120892	3320	125700	109552	-	-	LRRK2	HSP90AA1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Ding X (2009)	19536328	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
722602	120892	84790	125700	124259	-	-	LRRK2	TUBA1C	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	TUBA6|bcm948	Affinity Capture-MS	physical	Gandhi PN (2008)	18214993	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722603	120892	203068	125700	128444	-	DAAP-285E11.4	LRRK2	TUBB	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CDCBM6|M40|OK/SW-cl.56|TUBB1|TUBB5	Affinity Capture-MS	physical	Gandhi PN (2008)	18214993	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722604	120892	6202	125700	112116	-	RP11-269F19.3	LRRK2	RPS8	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	S8	Affinity Capture-MS	physical	Gandhi PN (2008)	18214993	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722605	120892	9349	125700	114752	-	-	LRRK2	RPL23	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	L23|rpL17	Affinity Capture-MS	physical	Gandhi PN (2008)	18214993	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722606	120892	84790	125700	124259	-	-	LRRK2	TUBA1C	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	TUBA6|bcm948	Affinity Capture-Western	physical	Gandhi PN (2008)	18214993	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722607	120892	203068	125700	128444	-	DAAP-285E11.4	LRRK2	TUBB	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CDCBM6|M40|OK/SW-cl.56|TUBB1|TUBB5	Affinity Capture-Western	physical	Gandhi PN (2008)	18214993	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722608	120892	84790	125700	124259	-	-	LRRK2	TUBA1C	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	TUBA6|bcm948	Co-localization	physical	Gandhi PN (2008)	18214993	9606	9606	Low Throughput	-	-	-	figure 4.	-	BIOGRID
722609	120892	203068	125700	128444	-	DAAP-285E11.4	LRRK2	TUBB	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CDCBM6|M40|OK/SW-cl.56|TUBB1|TUBB5	Co-localization	physical	Gandhi PN (2008)	18214993	9606	9606	Low Throughput	-	-	-	figure 4.	-	BIOGRID
722611	120892	7534	125700	113366	-	-	LRRK2	YWHAZ	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	14-3-3-zeta|HEL-S-3|HEL4|KCIP-1|YWHAD	Affinity Capture-MS	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|figure 1.	-	BIOGRID
722612	120892	10971	125700	116168	-	-	LRRK2	YWHAQ	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	14-3-3|1C5|HS1	Affinity Capture-MS	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|figure 1.	-	BIOGRID
722613	120892	7531	125700	113363	-	-	LRRK2	YWHAE	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	14-3-3E|HEL2|KCIP-1|MDCR|MDS	Affinity Capture-MS	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|figure 1.	-	BIOGRID
722614	120892	7529	125700	113361	-	RP1-148E22.1	LRRK2	YWHAB	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	GW128|HEL-S-1|HS1|KCIP-1|YWHAA	Affinity Capture-MS	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|figure 1.	-	BIOGRID
722615	120892	7533	125700	113365	-	LL22NC03-44A4.1	LRRK2	YWHAH	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	YWHA1	Affinity Capture-MS	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|figure 1.	-	BIOGRID
722616	120892	11140	125700	116312	-	-	LRRK2	CDC37	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	P50CDC37	Affinity Capture-MS	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|figure 1.	-	BIOGRID
722617	120892	3320	125700	109552	-	-	LRRK2	HSP90AA1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-MS	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|figure 1.	-	BIOGRID
722618	120892	3326	125700	109558	-	RP1-302G2.1	LRRK2	HSP90AB1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	D6S182|HSP84|HSP90B|HSPC2|HSPCB	Affinity Capture-MS	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|figure 1.	-	BIOGRID
722619	120892	7532	125700	113364	-	-	LRRK2	YWHAG	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	14-3-3GAMMA|PPP1R170	Affinity Capture-MS	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|figure 1.	-	BIOGRID
722622	10971	120892	116168	125700	-	-	YWHAQ	LRRK2	14-3-3|1C5|HS1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Nichols RJ (2010)	20642453	9606	9606	Low Throughput	-	-	-	figure 2.	-	BIOGRID
722624	120892	6456	125700	112353	-	-	LRRK2	SH3GL2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CNSA2|EEN-B1|SH3D2A|SH3P4	Biochemical Activity	physical	Matta S (2012)	22998870	9606	9606	Low Throughput	-	Phosphorylation	-	figure 3.	-	BIOGRID
722625	120892	6455	125700	112352	-	-	LRRK2	SH3GL1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CNSA1|EEN|SH3D2B|SH3P8	Biochemical Activity	physical	Matta S (2012)	22998870	9606	9606	Low Throughput	-	Phosphorylation	-	figure 3.	-	BIOGRID
722626	120892	6457	125700	112354	-	-	LRRK2	SH3GL3	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CNSA3|EEN-B2|HsT19371|SH3D2C|SH3P13	Biochemical Activity	physical	Matta S (2012)	22998870	9606	9606	Low Throughput	-	Phosphorylation	-	figure 3.	-	BIOGRID
722627	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Biochemical Activity	physical	Ito G (2007)	17260967	9606	9606	Low Throughput	-	Phosphorylation	-	figure 1.	-	BIOGRID
722628	120892	4155	125700	110325	-	-	LRRK2	MBP	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	-	Biochemical Activity	physical	Ito G (2007)	17260967	9606	9606	Low Throughput	-	Phosphorylation	-	figure 1.	-	BIOGRID
722629	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Berger Z (2010)	20515039	9606	9606	Low Throughput	-	-	-	figure 4.	-	BIOGRID
722632	120892	51347	125700	119490	-	-	LRRK2	TAOK3	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	DPK|JIK|MAP3K18	Biochemical Activity	physical	Zach S (2010)	20949042	9606	9606	High Throughput	-	Phosphorylation	-	table 1.	-	BIOGRID
722633	120892	8767	125700	114300	-	WUGSC:H_RG437L15.1	LRRK2	RIPK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CARD3|CARDIAK|CCK|GIG30|RICK|RIP2	Biochemical Activity	physical	Zach S (2010)	20949042	9606	9606	High Throughput|Low Throughput	-	Phosphorylation	-	figure 3.|table 1.	-	BIOGRID
722634	120892	5590	125700	111576	-	RP11-181G12.1	LRRK2	PRKCZ	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	PKC-ZETA|PKC2	Biochemical Activity	physical	Zach S (2010)	20949042	9606	9606	High Throughput|Low Throughput	-	Phosphorylation	-	figure 2.|table 1.	-	BIOGRID
722635	120892	6788	125700	112664	-	-	LRRK2	STK3	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	KRS1|MST2	Biochemical Activity	physical	Zach S (2010)	20949042	9606	9606	High Throughput	-	Phosphorylation	-	table 1.	-	BIOGRID
722636	120892	8428	125700	114011	-	RP11-111L24.5	LRRK2	STK24	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	HEL-S-95|MST3|MST3B|STE20|STK3	Biochemical Activity	physical	Zach S (2010)	20949042	9606	9606	High Throughput	-	Phosphorylation	-	table 1.	-	BIOGRID
722637	120892	10494	125700	115757	-	-	LRRK2	STK25	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	SOK1|YSK1	Biochemical Activity	physical	Zach S (2010)	20949042	9606	9606	High Throughput|Low Throughput	-	Phosphorylation	-	figure 1.|table 1.	-	BIOGRID
722638	120892	3320	125700	109552	-	-	LRRK2	HSP90AA1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Biochemical Activity	physical	Zach S (2010)	20949042	9606	9606	High Throughput	-	Phosphorylation	-	table 1.	-	BIOGRID
722639	120892	7186	125700	113038	-	-	LRRK2	TRAF2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	MGC:45012|TRAP|TRAP3	Biochemical Activity	physical	Zach S (2010)	20949042	9606	9606	High Throughput	-	Phosphorylation	-	table 1.	-	BIOGRID
722641	8767	120892	114300	125700	WUGSC:H_RG437L15.1	-	RIPK2	LRRK2	CARD3|CARDIAK|CCK|GIG30|RICK|RIP2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Biochemical Activity	physical	Zach S (2010)	20949042	9606	9606	Low Throughput	-	Phosphorylation	-	figure 4.	-	BIOGRID
722646	120892	27161	125700	118041	-	-	LRRK2	AGO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EIF2C2|Q10	Affinity Capture-Western	physical	Gehrke S (2010)	20671708	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722647	27161	120892	118041	125700	-	-	AGO2	LRRK2	EIF2C2|Q10	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Affinity Capture-Western	physical	Gehrke S (2010)	20671708	9606	9606	Low Throughput	-	-	-	figure 1.	-	BIOGRID
722649	120892	26523	125700	117726	-	RP4-789D17.1	LRRK2	AGO1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EIF2C|EIF2C1|GERP95|Q99	Affinity Capture-Western	physical	Gehrke S (2010)	20671708	9606	9606	Low Throughput	-	-	-	figure S6.	-	BIOGRID
722652	120892	3320	125700	109552	-	-	LRRK2	HSP90AA1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722654	120892	3326	125700	109558	-	RP1-302G2.1	LRRK2	HSP90AB1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	D6S182|HSP84|HSP90B|HSPC2|HSPCB	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722656	120892	23195	125700	116804	-	RP1-122O8.1	LRRK2	MDN1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	-	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722657	120892	1213	125700	107623	-	-	LRRK2	CLTC	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CHC|CHC17|CLH-17|CLTCL2|Hc	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722658	120892	7431	125700	113272	-	RP11-124N14.1	LRRK2	VIM	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CTRCT30|HEL113	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722659	120892	23256	125700	116860	-	FKSG23	LRRK2	SCFD1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	C14orf163|RA410|SLY1|SLY1P|STXBP1L2	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722660	120892	5591	125700	111577	-	-	LRRK2	PRKDC	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	DNA-PKcs|DNAPK|DNPK1|HYRC|HYRC1|IMD26|XRCC7|p350	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722661	120892	10270	125700	115561	-	-	LRRK2	AKAP8	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AKAP 95|AKAP-8|AKAP-95|AKAP95	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722662	120892	26523	125700	117726	-	RP4-789D17.1	LRRK2	AGO1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EIF2C|EIF2C1|GERP95|Q99	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722663	120892	27161	125700	118041	-	-	LRRK2	AGO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	EIF2C2|Q10	Affinity Capture-MS	physical	Daechsel JC (2007)	17400507	9606	9606	Low Throughput	-	-	-	exogenous expression of bait|table 1.	-	BIOGRID
722696	120892	4155	125700	110325	-	-	LRRK2	MBP	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	-	Biochemical Activity	physical	West AB (2005)	16269541	9606	9606	Low Throughput	-	Phosphorylation	-	figure 4.	-	BIOGRID
722697	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Biochemical Activity	physical	West AB (2005)	16269541	9606	9606	Low Throughput	-	Phosphorylation	-	figure 5.	-	BIOGRID
722698	120892	3329	125700	109561	-	-	LRRK2	HSPD1	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	CPN60|GROEL|HLD4|HSP-60|HSP60|HSP65|HuCHA60|SPG13	Biochemical Activity	physical	Luzon-Toro B (2007)	17584768	9606	9606	Low Throughput	-	Phosphorylation	-	figure 1.|figure 2.	-	BIOGRID
722699	120892	4155	125700	110325	-	-	LRRK2	MBP	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	-	Biochemical Activity	physical	Luzon-Toro B (2007)	17584768	9606	9606	Low Throughput	-	Phosphorylation	-	figure 1.	-	BIOGRID
722710	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Biochemical Activity	physical	Luzon-Toro B (2007)	17584768	9606	9606	Low Throughput	-	Phosphorylation	-	figure 2.	-	BIOGRID
722713	120892	120892	125700	125700	-	-	LRRK2	LRRK2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	Biochemical Activity	physical	Li X (2010)	20595391	9606	9606	Low Throughput	-	Phosphorylation	-	figure 4.	-	BIOGRID
