V1,V2,Gene1,Gene2
P49763,Q7LBX6,PGF,NRP2
P05019,P08069,IGF1,IGF1R
P06730,P18206,EIF4E,VCL
P06730,Q04637,EIF4E,EIF4G1
P15923,Q06455,TCF3,RUNX1T1
P49763,X5D2Q8,PGF,NRP2
A0A024RCW6,Q8WUI4,PPARD,HDAC7
P00533,P19174,EGFR,PLCG1
P09619,P19174,PDGFRB,PLCG1
A0A024R7T2,P19174,RET,PLCG1
A0A024QZD6,P19174,LAT,PLCG1
P07949,P19174,RET,PLCG1
A0A024RDA0,P19174,KIT,PLCG1
B3KUN1,P30154,PPP2CA,PPP2R1B
A0A024QZA8,P52798,EPHA2,EFNA4
A0A024R5Z3,Q14213,SMAD3,EBI3
P52798,Q6UWM0,EFNA4,EPHA6
P19174,Q08881,PLCG1,ITK
Q07817,Q9NQC3,BCL2L1,RTN4
O60880,Q9UIB8,SH2D1A,CD84
P08069,P29353,IGF1R,SHC1
A0A024R328,P08069,PRKCD,IGF1R
P18206,Q14011,VCL,CIRBP
P13473,P37840,LAMP2,SNCA
P08311,P55210,CTSG,CASP7
P06730,Q9BUB5,EIF4E,MKNK1
A0A024R2U9,P16403,APEH,HIST1H1C
P46531,Q14527,NOTCH1,HLTF
Q9NQC3,Q9UBY8,RTN4,CLN8
P16403,P19784,HIST1H1C,CSNK2A2
P43351,P46783,RAD52,RPS10
P16403,Q15843,HIST1H1C,NEDD8
P16403,P20671,HIST1H1C,HIST1H2AD
O43463,P17542,SUV39H1,TAL1
P78406,Q7Z2W4,RAE1,ZC3HAV1
P78406,Q5SRE5,RAE1,NUP188
Q9C035,Q9UK80,TRIM5,USP21
P0CG48,Q9UIB8,UBC,CD84
Q9BYJ4,Q9C035,TRIM34,TRIM5
P0CG48,Q9NP66,UBC,HMG20A
Q7Z7H8,Q9P015,MRPL10,MRPL15
P21283,P36543,ATP6V1C1,ATP6V1E1
O15260,Q5SSJ5,SURF4,HP1BP3
A0A024R475,Q00005,CUL3,PPP2R2B
P40692,Q00005,MLH1,PPP2R2B
A0A024R6P3,Q00005,CDCA4,PPP2R2B
