"","P_GSM1192704_BR34_1SN.CEL","P_GSM1192705_BR34_2SN.CEL","P_GSM1192706_BR34_3SN.CEL","P_GSM1192707_BR34_4SN.CEL","P_GSM1192708_BR34_5SN.CEL","P_GSM1192709_BR34_6SN.CEL","P_GSM1192710_BR34_7SN.CEL","P_GSM1192711_BR56_1SN.CEL","P_GSM1192712_BR56_2SN.CEL","P_GSM1192713_BR56_3SN.CEL","P_GSM1192714_BR56_4SN.CEL","P_GSM1192715_BR56_5SN.CEL","P_GSM1192716_BR56_6SN.CEL","P_GSM1192717_BR56_7SN.CEL","P_GSM1192718_BR56_8SN.CEL"
"MEF2D",218.350594656064,207.359223773307,190.058182409312,215.237706584474,206.350718648164,163.915936039468,168.751923533007,188.533107810227,167.289955875459,209.78550125686,154.597513249199,190.106153527906,175.568109952512,189.636269412857,169.493717943403
"ATP6V0E1",924.049961242505,1240.09410177553,1517.73648478196,1197.50093312691,1275.28536077411,1631.52856315882,1159.38711721601,1346.08984908295,1511.84977503161,1429.12209090915,1372.26858722539,1398.54960189666,1676.32555062034,1181.69265055789,1331.8565970355
"MARK4",879.530220303152,421.588265262823,605.145325837576,647.214379189903,646.722208140134,534.366078444356,505.002942711213,551.903538054312,419.795660573413,634.670931943126,393.543908140797,513.396818604218,532.402902193536,333.706030479356,403.830155991527
"GAB1",271.821694965199,707.689307341093,513.203195013213,402.057789764198,453.854107596109,577.089849082947,620.851696576045,607.569334765488,492.24334981206,533.972015154145,469.555052843598,713.481153430773,786.26469779772,616.44727322618,568.3761428282
"NCAM1",683.512691589929,1257.81988058235,1527.41292715215,1060.16092880057,1044.51239316568,1483.92573976279,1585.62366219741,1054.87904839184,1276.8306937187,1011.08581198748,1201.50289256121,1538.7280273392,1338.04373959133,1442.52528102292,1366.88143725333
"ZBTB1",110.024697178257,176.294797180916,207.307240387294,175.422185447651,134.733912946217,170.455274168006,124.307432179829,262.695433455072,183.682996117203,195.244543891429,185.35380102261,181.030627184099,195.83068176639,263.185941424372,207.852614589025
"RPS16",2885.93838046951,3785.09487719393,3882.61061404679,3624.57447198522,3920.71384437648,4490.04637082208,3927.28541567935,2823.03161012865,3665.13990958373,3108.87932337486,4190.13332734382,3510.2559090373,4182.91593603947,2957.61158821338,3058.8051061122
"GNAO1",1365.38181420868,832.515307948781,816.7237498552,907.371789875311,1092.8772929699,744.387932072541,585.838938666218,833.566565793207,823.956656197034,939.133716772911,757.113720813292,858.060808975865,639.985437157933,679.942100814727,803.638553542895
"ACVR1B",636.273236429084,408.522885686437,525.776713157256,567.826812129641,589.518715561208,428.985950798295,312.741608534505,528.103950441102,495.898674454226,624.263762126425,424.916102129683,459.711455741644,373.260794917672,313.510850468366,394.818286785255
"LAMP2",474.407624694687,1164.97804046467,781.757222894304,722.883454458529,852.846534395337,1710.29413484862,810.307921479537,2238.04637082208,1370.17793159161,1218.65581114003,1699.52192138544,1237.95567221953,1512.40989937297,1396.52463169164,1473.78680997297
