V1,V2,Gene1,Gene2
P49763,Q7LBX6,PGF,NRP2
P05019,P08069,IGF1,IGF1R
P15923,Q06455,TCF3,RUNX1T1
P49763,X5D2Q8,PGF,NRP2
B3KUN1,P30154,PPP2CA,PPP2R1B
A0A024QZA8,P52798,EPHA2,EFNA4
P49023,P52272,PXN,HNRNPM
O75381,P50542,PEX14,PEX5
P52798,Q6UWM0,EFNA4,EPHA6
Q07817,Q9NQC3,BCL2L1,RTN4
O60880,Q9UIB8,SH2D1A,CD84
P08069,P29353,IGF1R,SHC1
A0A024R328,P08069,PRKCD,IGF1R
P18206,Q14011,VCL,CIRBP
P11142,P25685,HSPA8,DNAJB1
P13473,P37840,LAMP2,SNCA
P08311,P55210,CTSG,CASP7
P46531,Q14527,NOTCH1,HLTF
Q9NQC3,Q9UBY8,RTN4,CLN8
A0A024R2U5,Q9Y3Q3,GORASP1,TMED3
P0CG48,Q9Y3Q3,UBC,TMED3
P43351,P46783,RAD52,RPS10
P23258,P46783,TUBG1,RPS10
O43463,P17542,SUV39H1,TAL1
P78406,Q7Z2W4,RAE1,ZC3HAV1
Q9C035,Q9UK80,TRIM5,USP21
P0CG48,Q9UIB8,UBC,CD84
Q9BYJ4,Q9C035,TRIM34,TRIM5
Q7Z7H8,Q9P015,MRPL10,MRPL15
B7Z240,P05166,EPS15,PCCB
P21283,P36543,ATP6V1C1,ATP6V1E1
O15260,Q5SSJ5,SURF4,HP1BP3
A0A024R475,Q00005,CUL3,PPP2R2B
P23258,P55084,TUBG1,HADHB
P40692,Q00005,MLH1,PPP2R2B
A0A024R6P3,Q00005,CDCA4,PPP2R2B
P48643,Q00005,CCT5,PPP2R2B
Q00005,Q59H77,PPP2R2B,CCT3
B2RTY4,Q00005,MYO9A,PPP2R2B
O00268,P0CG48,TAF4,UBC
O00159,Q9P2S5,MYO1C,WRAP73
P23258,Q92930,TUBG1,RAB8B
P62837,Q9C035,UBE2D2,TRIM5
O95379,Q8NBZ0,TNFAIP8,INO80E
O60260,Q9BT88,PRKN,SYT11
P32121,P46821,ARRB2,MAP1B
O00159,P32121,MYO1C,ARRB2
