"","P_DMNV_GSM488119.CEL","P_DMNV_GSM488121.CEL","P_DMNV_GSM488123.CEL","P_DMNV_GSM488125.CEL","P_DMNV_GSM488127.CEL","P_DMNV_GSM488129.CEL"
"DDAH2",87.7710026667386,51.9044725031899,77.3073687530064,52.9285262799511,52.100126069638,57.5412615762865
"LEF1",96.6389520081825,110.377913538206,180.416750169838,176.947167596414,145.649849815117,180.580737483959
"MAP4",612.310556528995,458.802762551685,653.595343000032,488.637740146004,410.96634868196,514.920925694093
"PKP4",395.691022786222,482.383852479601,543.232060863015,758.84263568781,365.352119541026,586.820377055304
"BACE1",173.519512798807,153.486534004313,214.888122204956,219.657537509381,150.816658446206,181.009023363738
"KIF5B",219.483579872154,161.95213357033,479.24911843275,568.609784034655,239.022746134295,231.306002337716
"SNX6",225.593883361626,85.318201384167,243.217022849594,122.848451353262,72.1380528969014,79.5429597851097
"GAB2",348.696953153114,189.178996382893,287.664131596553,267.047602312009,146.30791830547,195.586570196423
"MAP3K7",31.8748393984106,25.7484288992346,42.341844574207,40.3878788794355,33.1223420990695,34.6849436870235
"DYNC1LI2",128.206042540057,288.158226184084,614.671631095304,426.64356466245,140.242619864394,328.967943218304
"PALLD",28.6927859843172,32.4095317312473,44.9946345239165,56.4932198425143,28.4338352090463,49.0107365816985
"NOP2",276.887126456369,226.149693124049,214.515332744978,159.525689159477,234.383824675676,232.101114501055
"PTP4A2",1061.91772964967,565.582701415267,1613.94566773907,1338.19308601159,621.575580116476,583.742561221396
"SAP18",201.215948265899,116.282748659028,252.415706514965,258.546383413487,65.317293387345,64.6690838036707
"GOLGA3",125.609007513994,102.922000100085,110.975963192263,116.497463346952,83.1504206737637,76.3417131776499
"PFDN5",383.03601806147,94.6882555870975,490.232418496884,226.850522614671,62.4532965887238,88.6177590105754
"ITGB1",470.891833833804,391.861259297625,866.260794848837,889.553235862101,485.79222102777,629.701327088336
"ANP32B",607.609480989831,719.957518883566,943.165448934786,1561.40196576161,842.574178981286,477.129970955154
"NPM1",1354.25006118976,757.987851064395,1195.08755516285,1503.41933576886,664.455648093594,1037.1263789082
"RPS6",1732.93079347671,1193.56708606421,2284.75467699047,1589.18974599787,654.928002763806,1182.85093943575
"ORC5",41.6613328383686,15.5439669641311,36.6816430558076,32.4755322412059,28.4198993407103,16.0366985655674
"ATP6V1G2",51.8725442730546,38.5783551592829,151.38858530124,63.2428020514961,30.8820336206954,43.6784470489615
"RRAS",48.9939929989277,35.1679537375746,47.0082825659569,28.0377802746831,30.2801732913677,23.493659777203
"SOX2",38.3725837002694,50.9520274270153,33.7539439934893,35.3489863092977,76.9366422749242,58.361097839528
"C8orf33",56.0784081382105,22.0125072851221,59.2020446209427,33.2736597270268,18.803134164765,34.4650151896653
"PDHA1",130.204088629408,67.0577527953551,99.321313529947,91.8189522333387,64.9932529777865,121.482998186245
"SF1",325.600326452415,179.28022063613,257.016016005373,227.88773106622,219.522589552864,204.709938698294
"ANGPT1",25.345238923542,46.3562747474513,24.8207679618315,36.5587002198673,48.532950708647,37.515318546656
"EPRS",95.72509326091,114.30669081453,200.310936193512,217.28923208748,128.610671482343,150.080812834888
"PRMT1",48.7725633828432,26.7200453674121,57.9813782327559,30.8419006426197,31.7517668637284,26.0098092953605
