"","GSM503958_PD_1364_SNc.CEL","GSM503959_PD_1401_SNc.CEL","GSM503960_PD_1647_SNc.CEL","GSM503961_PD_2515p_SNc.CEL","GSM503962_PD_2525_SNc.CEL","GSM503963_PD_3769p_SNc.CEL","GSM503964_PD_3790p_SNc.CEL","GSM503965_PD_3803p_SNc.CEL","GSM503966_PD_5138_SNc.CEL","GSM503967_PD_5476_SNc.CEL"
"GPR22",4.99239069979597,6.51275959507248,4.89280297425493,3.05441204002611,5.8646685916755,3.40830298319483,3.21062344134654,3.09834611832221,6.8700168898992,6.94642432092948
"PRDM14",10.0873035938871,6.18746956517676,11.4767150260464,7.57727631644674,14.7193436116703,10.6602285951693,11.3599524837489,8.50252308740973,7.56343823522523,11.0614527700688
"BPGM",5.20968466284797,15.9418066338975,11.0161874623313,7.02254747395759,7.22036111124614,7.4817442284609,5.3614586634724,7.48196365825105,6.50638662851962,9.58520816777782
"SYNCRIP",8.72712485000436,16.4486210774163,7.55878791201738,10.718461738914,11.266819313082,8.62669881533365,12.9300190252433,9.5393988066959,13.175162593798,17.2613161196328
"PSMD1",6.68472337629987,8.96293144125637,9.00091684384807,11.8843593062773,5.82775064814271,4.8231839595732,7.79822303612518,14.3847498318211,7.15263809269831,6.4774943702129
"SF3A1",17.4272869152755,18.0797560883256,29.163701564786,24.6391817124137,14.7519856312779,22.4225438638449,5.3895476397871,24.2866222652723,21.6546349160491,25.7377614275512
"PPP1R2",21.6664587305674,8.39970594265081,18.3896990010537,14.9865634102293,25.4792952683887,19.9731468853083,26.270243764323,18.2927488229461,33.9758531985955,81.3557488136784
"NRBF2",9.01680964221046,3.55393839250397,8.91305010475553,10.3507358526452,7.21889276100052,7.45660624265473,4.16943427816057,9.51092013234685,10.3424439703397,8.39817960018055
"ATG5",5.67701397469708,4.54906221016422,16.8845873876348,18.4847414369017,4.42637288545737,4.80568340687776,9.83990553773637,14.5179228977074,11.1455870655226,16.7581255079462
"KPNA1",5.62685838052097,14.4247011588592,9.27028220400286,5.21078562789129,7.25052575589905,3.2799050998248,3.48467635298155,5.59035571078882,20.5458980933766,14.8441443580948
