"","P_GSM508710.CEL","P_GSM508711.CEL","P_GSM508712.CEL","P_GSM508713.CEL","P_GSM508714.CEL","P_GSM508715.CEL","P_GSM508716.CEL","P_GSM508718.CEL","P_GSM508728.CEL","P_GSM508731.CEL","P_GSM508732.CEL"
"ARL1",416.639047511783,607.734374480491,542.200244919617,469.532734679383,509.476788288507,560.479481350744,316.30478875871,686.351516107725,518.2088436596,682.802490652619,503.143326723651
"SHMT2",705.703184842993,835.194409717352,682.339572006823,1151.03922638698,1206.98855204174,858.596606617477,889.994633367987,929.597289756078,892.751600371291,994.776624486391,1428.74735249841
"RPA3",233.30378456424,247.681530823885,289.049282786722,226.472726064176,226.260277266952,198.448188967403,185.622493171933,283.403501312682,212.644663207662,258.075467928505,176.72975319618
"TAZ",595.958474890581,553.639835582296,485.326275906016,667.405733535814,500.683227262575,667.626109228166,635.55370367371,452.545620757439,432.266214033123,472.679126600234,467.244092414098
"MAP3K11",543.469427810846,559.362052230757,530.78332298084,603.834791139235,612.092260010057,429.699654608157,786.976973914289,517.395290919235,362.869238011795,472.167592600797,1073.07550526017
"AUP1",196.482687839972,253.890231495865,288.622776609962,282.465723616446,294.388426500718,303.65350924222,297.912101781135,382.524262638987,343.195184441905,392.120554066149,504.808523417798
"IKBKB",49.0999126532637,47.3584117286875,45.914195368601,44.8976216800303,52.3157534866143,48.812245707297,51.7545719613943,46.4891488401431,56.4625141906172,52.9867167522739,56.5034060559477
"TCIRG1",163.230729552526,211.718217451315,145.959433770177,180.886844438376,199.060921920593,171.287303060784,208.298825439288,226.940892949288,129.655625814352,142.396457342849,323.623328436522
"VDAC3",2508.427752556,4267.05418304718,3325.13293590294,2567.00543493138,3127.37503366398,4038.88235591776,1763.89685553963,4962.19428718711,2633.29375439794,3715.40963372589,4163.85946467853
"FLCN",283.83009791316,322.794776721484,104.82048178243,218.662413719183,162.719095512741,202.326637427872,396.529640026159,135.62218595485,414.048126681287,354.659062455615,175.095463453439
"ACTN1",251.967153149207,155.075337480464,131.695838849654,163.752087844092,328.625629140812,121.896206142338,219.407032030578,185.066872907425,78.3969524308987,92.7107823270229,113.141009966318
"PHF20",513.049597121659,553.294661667821,449.021844613882,513.441595354848,309.040897914434,360.187815454498,535.395756717915,454.828861379201,465.381495248593,535.938123090939,503.738575097876
"RSL1D1",112.223982187028,138.040027596642,96.1366132288192,108.048359467926,93.7387164280456,86.204037146252,122.995833947357,80.2959305524795,93.9023793255227,86.7071054167269,119.507925618133
"DLST",96.6542253174272,114.501482349529,100.291942891796,109.886593549924,132.917098007291,119.941978706253,108.293940069023,114.409798043725,96.532447165601,91.2976897387013,123.300477884069
"ZMYND8",1017.64740344312,758.580894893445,402.696151679458,737.852576349483,393.522157858759,521.380993970039,763.18956710724,392.423492456471,725.184706188839,1253.03309657688,434.114066257911
"JUP",165.532417158037,165.433479172586,188.479915668641,219.214923862073,188.745303443579,168.658979348191,180.49614584908,153.972300815918,144.617225527622,135.983299609008,210.840545229752
"DCP1A",289.236909297541,322.647499919829,266.933931522853,363.85596135346,293.240695557336,227.625152950507,411.225168162909,262.517624632309,536.649800263107,431.970131906254,269.249510491847
"CD22",245.37020350292,240.425987423003,167.594266699234,459.818999713885,291.216536506579,201.831338999195,312.264389969244,195.149401128467,236.901096148613,261.455464861547,269.947002760986
"PSMC1",1154.4386075142,1312.79065427322,1957.81657596423,1717.428692208,1937.15984303539,1674.83593550174,1004.93918378504,2532.69366600067,1638.81321199237,1748.64953789427,821.452509513468
"SET",1183.74807591166,862.262112742209,736.585828140935,991.660661945678,953.353328849732,781.335748684417,1254.01679738712,843.022027844381,542.061463709843,498.884455198571,657.336648260046
