"","P_GSM506039_1_1364_BA9_Pm.CEL","P_GSM506040_1401_BA9_Pf.CEL","P_GSM506041_1516_BA9_Pf.CEL","P_GSM506042_1647_BA9_Pf.CEL","P_GSM506043_2515_BA9_Pf.CEL","P_GSM506044_2525_BA9_Pf.CEL","P_GSM506045_2685_BA9_Pm.CEL","P_GSM506046_2729_BA9_Pm.CEL","P_GSM506048_2977_BA9_Pm.CEL","P_GSM506059_5138_BA9_Pm.CEL","P_GSM506062_5441_BA9_Pf.CEL","P_GSM506063_5476_BA9_Pm.CEL","P_GSM506066_T72_BA9_Pm.CEL","P_GSM506068_T127_BA9_Pm.CEL"
"NDUFS1",124.795757559569,167.096728515156,150.866004748542,158.141028368745,269.006825972793,259.774853182485,233.23884047542,318.815617118085,283.338380544306,199.859420079385,202.22093921194,287.498768334605,127.763838039718,94.2489375375702
"LRRC1",69.4759561528305,80.0911905289594,69.2978050960006,62.7901752386142,59.7890186893285,61.7699035051041,72.6692524181124,57.9302570833819,59.4702577772599,72.9777162396163,82.9379498612278,59.1600468313269,63.542934325277,74.7705120005145
"PXN",467.16099088434,326.673515002306,383.306227775922,573.502485950248,272.548243884641,584.917333375332,338.476989566606,281.927390780312,261.981939983929,446.381233951165,421.196334070199,435.021835914253,367.158863784724,470.344413698253
"NOP2",476.17559822046,463.60701712328,706.75527643157,400.614971164124,362.60619838037,498.363031656607,482.911861231387,344.266403376675,458.749293838644,470.529316480826,460.003214128645,463.500332915069,614.304410683354,598.345884647991
"POU2F1",288.859310220838,323.238927642057,470.969250744748,251.582850560872,256.489886772014,206.562101261526,207.574893414506,220.362162393038,209.246979299106,259.879812793249,270.066771113069,300.63794079436,330.539155728309,314.293828104608
"ATP6V1G1",310.756381852739,353.948806730612,265.203974467294,230.717955050171,588.219019689692,807.17900211566,414.829988169923,579.387084783263,635.626891886135,633.568481418849,593.906943321129,566.746496052348,218.310244795661,142.51880369617
"SRPK2",544.901359542439,668.539309171454,842.315487334295,393.705569020033,734.304147405052,1160.1927629471,1064.05222818161,1150.82309373091,1232.27744495925,615.728940529112,955.551932263403,1088.81110852489,1673.45866905383,560.938604018243
"SHMT2",727.207913840563,837.776840309437,789.386576776653,920.147588620495,695.934851765274,1288.67074917401,834.423505849542,692.621418066621,696.846665494481,1046.90289147209,634.203898614341,909.579378909349,1056.21170705176,994.696841019372
"UQCRB",303.352792133334,291.471054844222,247.426449709592,157.540972755988,505.580117388578,322.724507866019,312.47593233124,513.375964648256,461.987465535903,525.195019752913,659.466081438919,548.115949051869,217.786785320934,120.4285347431
"CUL2",30.6729422943519,30.0357108830673,29.3806344279098,30.2468788819604,31.4393334998407,30.1694336058716,27.45623136362,33.3993432501441,32.0107738149291,28.4880415990714,28.6495697175657,28.0181803778226,27.9197493690926,28.5200357884234
"EIF2S1",313.72830980519,282.213284948565,248.400174844713,237.247785321005,392.945169396914,393.984585546038,368.746684175264,394.995069430856,333.962159152516,302.111557949339,313.829573351438,398.350210793462,193.010473162774,228.420630847148
"TCF4",88.8708666069976,133.117438116824,259.229015018356,78.9729512681765,107.106238218363,262.56142734108,283.605182681044,491.318235444764,275.915696049678,77.3732158999986,101.205275194241,79.3992009286057,107.199501371352,81.7844766324206
"PPP2R5E",79.630108628686,115.158780744393,103.006025093342,64.049153525506,223.972125583312,94.4379497013281,150.480860556102,122.474624488307,161.106430364506,176.885808276956,173.022692734262,131.097406357901,102.552339055322,95.7729671037087
"MAP3K3",570.863689218857,331.753748183953,411.307150836459,381.788035178818,280.925434352568,333.051305089409,317.094001509073,298.136886374889,297.703680031858,321.547206356545,372.740133410645,298.136886374889,437.121276292039,406.350561580779
