"","P_GSM508608.CEL","P_GSM508609.CEL","P_GSM508610.CEL","P_GSM508611.CEL","P_GSM508627.CEL","P_GSM508628.CEL","P_GSM508629.CEL","P_GSM508661.CEL","P_GSM508684.CEL","P_GSM508695.CEL","P_GSM508697.CEL","P_GSM508700.CEL","P_GSM508701.CEL","P_GSM508704.CEL","P_GSM508706.CEL"
"TOX4",54.8274714643057,84.7582497296962,67.7047546283804,46.3190867763694,74.4815465638826,50.8915238059243,53.2733978738139,58.3277193793284,74.2684054093548,73.6272623766201,59.7542664120945,74.4815465638826,59.411117432176,68.2979636984948,57.2065341017242
"WDR61",43.1836149268278,40.7943406379199,45.5097890348771,47.0180446126801,52.3513371388146,48.0766578480954,42.0590741433344,50.7834503829114,50.2516562055993,46.9018968971716,48.5150700563528,42.1004353373084,52.2854177289208,59.9931180642509,37.7951407149605
"CTBP2",51.459014830458,67.0283487167889,85.8071960986955,78.4460649462773,55.9061819005517,77.2990199315696,82.0588085816454,59.5795066723489,47.3951783426747,89.5434144016522,98.6274438510658,111.457895440834,80.1814657451833,50.0101608456755,75.6482409398784
"VCL",598.005412906329,367.637036261869,559.955866182789,350.505301170455,468.197000763295,907.414307207204,467.554442029343,634.79443244117,528.418792588071,483.718667301098,695.342373212833,544.356559982676,661.938246849445,360.712667002115,722.887403209745
"ELAVL1",502.815334202575,435.975503717511,574.197872594853,295.064527321887,443.424871880894,420.335686229132,1013.95290617567,423.183140768635,418.934531713821,1350.04914654195,754.169822133602,557.116606075756,718.668131449558,362.746916319406,458.233044167338
"PAX6",565.611143782559,529.827366882802,574.543677226508,654.015715034476,888.846450795638,637.90367675042,1502.21346072493,892.09887128809,678.032207858845,974.998196131123,790.748651438795,826.216888761212,373.592292851098,680.126553262128,818.723612913352
"TMEM14B",70.5356114802533,119.030847067459,94.185003403425,63.5094917000296,140.328513002807,79.133578398204,102.748865555557,100.863515250299,130.821285435884,158.392241184371,216.123841658985,101.056074108346,138.158755672082,236.020847602969,58.7319513181022
"NTHL1",83.8964540327479,69.0833503845506,59.0398508595064,75.6513777285138,66.2574697199094,66.3493010930191,77.0196477547523,66.7182062207731,73.8736249768711,47.8318971660409,62.1812978908882,68.684687225177,66.9799919149869,85.643419036185,74.0491729304097
"MOB1A",336.565761261177,296.291547307235,397.58046928888,259.903631739795,348.084311377348,367.055443684188,487.88148929646,364.846239736961,333.499129439841,728.51508955536,691.592726454274,590.209267864224,590.568998271066,347.022992566314,413.139826443926
"MKNK2",828.470293505577,533.296070050268,671.907145778525,1172.58007854539,714.533964632743,957.820535122618,2011.86740910801,405.660041052445,548.351608568403,2328.37642861004,843.47167700321,1515.98817258662,547.945631366478,386.548724636798,3087.01753839413
"TMEM177",60.1447288514141,58.9588893878507,55.7609181177105,57.0590657405754,63.7644934300192,66.9907457472948,59.6566619036125,63.7644934300192,52.7257640685055,56.5235229021405,62.3853819447531,55.8150268456577,50.2989038800106,67.2201745112759,65.4335567940425
"HSPB1",372.499153997338,1511.42771040836,2533.1825340142,938.245479429448,2559.34557897783,4044.90035883531,597.64865595338,593.066466576231,1849.50397652702,4057.12826920649,858.009649473822,1903.64811436508,1262.86570246823,594.722168450617,3563.97892638471
"STC2",102.613172635822,75.6529919480856,75.6676238639328,90.9674244055343,97.6254716479995,95.7084365290556,84.138893835174,102.682523180736,67.0674322179688,81.9487782518764,84.4253715079221,76.5516208390788,80.6955061441401,63.7401608006327,90.9306499958155
"PDE4DIP",358.392477853812,250.659004119953,277.506406791699,372.666720479394,321.568943576576,257.428410807503,329.457814759562,256.070155440012,405.421758213596,208.902874115144,363.209165684912,249.262037310125,251.828730210446,296.286647641629,346.196087560607
"WWP1",90.6039430669259,268.595813211704,105.669935978819,109.786952746584,121.775906155356,83.2540767799508,117.072338218382,176.080742790266,293.724750255053,301.410835256761,251.432874276611,204.116714577558,406.693191351269,399.418767350124,128.099016251966
"CACNA2D3",53.3502165155243,104.626365942819,42.6862229909544,67.3093740999626,56.9377608236054,39.2432344769449,39.5180165513164,57.9408299193853,94.2268066058659,68.9218664621438,42.9720613637686,74.794803915827,311.066336933417,115.549475253623,58.7297743283722
"ZBTB16",330.317550873834,258.51426493466,306.246734178801,528.375187992367,388.740535289441,614.679278451638,580.066725079625,515.596296867187,233.257533072581,177.418224812596,407.889786739453,309.315060702901,111.701553052482,200.946624945934,587.020224210096
"NDUFS1",128.345295562441,155.879584591949,134.747298197807,87.0927906187074,135.280821272748,99.3735612220665,83.5400112858073,160.537784628554,172.710931701313,131.263684619435,150.382008449763,104.704268704533,139.670739059149,181.656434647892,98.9457747930809
"GAS7",932.192529180115,1165.63643691073,410.323697860278,1757.26949758506,581.001061056084,331.076083464535,425.839548027541,769.588326171615,844.34891568703,686.819415872676,888.052276882892,779.76930391639,1330.64525471254,1313.34673319263,634.928832525451
"JMJD6",191.560086452798,89.9014781331199,127.497479537249,81.7214942033473,102.05107470587,291.755490480215,158.103616588436,85.0130006614015,92.2957178250907,669.828891904533,299.776548916588,366.42299969656,201.136023271482,79.8139808866648,570.979771562108
"MDH1",813.026879344969,2876.27250653941,2046.05972777229,822.401757375735,999.96013114318,399.380034769396,580.667976570889,977.747613702832,2352.55969827492,1202.01825699113,1220.40380530474,670.378279649846,2323.54201413257,3881.49533368785,699.310097049794
