"","P_GSM208625.cel","P_GSM208626.cel","P_GSM208627.cel","P_GSM208628.cel","P_GSM208629.cel"
"KIF5B",426.422967324329,415.445571581866,593.941056517144,560.397041246764,474.034277797527
"SRM",147.618098925842,141.48599616784,143.601214674937,135.676341502211,140.500293388144
"FLT1",139.005709768796,151.984337119394,147.47468869053,113.271148787632,100.082139062495
"YWHAE",140.77177780522,140.00927780714,218.644831939721,197.12472245386,222.581194320549
"TUBB6",180.750136371228,177.797900134848,162.129154971641,132.908779545089,123.06085037006
"PPL",85.5727169168016,106.211818065202,60.4455027438683,76.2443151660308,72.2115281404344
"DDA1",58.756373938773,100.753052714325,83.2457746492192,65.5084921781987,92.8989489275024
"KCNE4",24.926062875392,19.0560416663881,19.945243007629,24.4791618177618,23.2281210351277
"CTBP2",335.180775565223,341.091683356912,305.509584050815,338.847930622968,278.04937450994
"NUCB1",242.331365554569,200.694372562189,250.437203125469,185.145021428525,234.124491407969
"GAS7",51.470668565563,63.9262334745924,62.8722633207206,52.4276862238661,66.1533114971679
"EGFR",176.932220847827,216.071777797528,172.65888160808,212.83999895574,109.21804758051
"TNPO1",666.392126799127,436.110256051287,656.900888665462,988.57947840868,403.629189423484
"PSME3",121.002276208396,156.56752793058,157.594076428917,152.33888378201,156.781010098022
"WWTR1",21.2459856619521,26.4291448593189,29.2535539012344,27.743354585782,26.0034230773623
"TUBG2",45.8076873297515,44.4273712829006,27.2617665695243,31.9967725088511,43.9075538343564
"PRKCB",354.059277797528,542.177533775873,482.331853384076,464.197848752925,451.115120014855
"MAP2",60.3544364669571,110.321800290868,52.5022556715707,61.9330594708251,101.945548144066
"TOLLIP",113.931762017035,149.82177779799,89.5353029257163,92.0775051653867,191.527684010209
"HLA-C",255.946777797528,339.284277797527,344.188512676199,311.949793901774,302.852010254942
"PEX10",33.1605128821709,29.6048747984545,30.3624697180112,30.601209701753,31.0231484013708
"NIPSNAP1",156.384277797585,132.314578007671,120.553287301859,157.11472583649,162.433353975766
"KATNB1",25.9017042792643,43.1142310285666,20.6625317122286,18.2692120344418,31.8704409957841
"RBM10",204.133909376002,223.44761299302,191.55403984518,189.142116073045,201.827023650577
