"","P_GSM208636.cel","P_GSM208637.cel","P_GSM208638.cel","P_GSM208639.cel","P_GSM208640.cel","P_GSM208641.cel","P_GSM208642.cel","P_GSM208643.cel","P_GSM208644.cel","P_GSM208653.cel","P_GSM208654.cel","P_GSM208655.cel","P_GSM208656.cel","P_GSM208657.cel","P_GSM208658.cel","P_GSM208659.cel","P_GSM208660.cel","P_GSM208661.cel","P_GSM208662.cel","P_GSM208663.cel","P_GSM208664.cel","P_GSM208665.cel","P_GSM208666.cel","P_GSM208667.cel"
"TPBG",87.9136785161686,97.9839836823921,42.2763040673183,101.543131620978,81.2845520384492,51.3087661208108,81.1986577874971,126.746138841482,118.906035389041,80.6562895902089,72.8537569754645,57.2983088930837,96.6832253885132,58.1673216333737,56.1218095984491,59.6709109737875,105.851859823192,68.1268041951402,223.697161287396,134.082676512657,127.401958925485,87.3969705420716,97.862134742579,121.756734798602
"AGTR1",23.3254398863796,28.4318919150868,25.4220182645669,23.5269471259961,25.2229758694992,20.4710844738095,26.5421536766174,20.3184583607895,40.2337736361199,27.3605223571826,21.7468476757172,25.2631522382678,28.7276047103263,33.9673095083222,27.1798354665097,23.1417728978839,31.1802944572554,20.6350896509845,61.8784973489295,22.205331881526,43.2314636320687,34.931942431139,27.3971003139188,37.5989976709041
"RET",32.1834855656653,39.0449593043218,37.5880776716372,46.0631941191022,34.938333176169,62.0262378330338,19.7461726464712,32.2656839998978,66.2764239073381,36.9850833549208,70.0726164523141,58.5928301926917,62.40900868498,40.4808394844109,52.983987993161,30.3773247789108,54.3120995657182,41.8729531952502,188.125406119988,21.843728855481,65.7708740952576,56.3458997267128,59.3453725314238,41.5186844674237
"PPP1R2",22.1701159724998,21.938684689872,36.1876641849507,27.802835029266,26.5312973472545,33.7398800000247,25.8890975141823,26.0539657531051,25.6384517791925,24.6263061854238,30.9524417525215,34.6695548426578,22.7555644510282,30.743883471115,32.1666008383529,24.2632321338012,32.8907114196849,27.5507075737926,42.6593916900047,21.7015809699464,30.2243936385435,29.7795951177688,28.3402133281603,43.4129062694309
"PTDSS1",314.5537845033,292.760684878232,347.263560242355,456.952783244554,318.252748322051,358.098436084055,270.590738897867,380.123151765629,365.149668863517,305.468995859588,346.73129514514,373.193522150597,333.680739004838,286.596895675928,352.812354020282,324.074124064716,383.385666383768,357.103750129736,516.504591045748,338.940227512452,369.882532795168,307.92493657808,402.276049017856,299.40285719046
"MTCL1",83.0761442840315,81.6736704420899,76.862399250546,62.4082037108312,95.9209466445423,72.2214947313473,62.273353930205,72.7182299838596,95.8555147837954,87.0036863552375,85.0127710829497,78.7046667924073,79.863657187179,79.6265489562799,81.1791298911488,58.4434742628834,90.3297859627538,75.8676627683298,131.498267785607,69.9161950203678,88.4755158087022,84.6097347450194,94.2753567902515,81.5669352596482
"PSEN2",69.6215784282453,83.0403051137487,113.569906979803,80.3360362124606,87.1454641778577,113.51773581559,70.6120780085827,75.1614307795767,89.0666522406339,70.8999947637788,71.3833538086519,103.672487103368,72.845891546412,87.7799206089058,86.6967732196292,70.135952516764,82.3151245123948,86.1218708793399,103.109807984682,89.809426065756,74.0675170767659,57.0526038984786,81.0407869282042,82.2914376471623
"PKP4",44.7601777300956,46.6874450425756,60.9290032929355,64.3182585573325,86.2531342328289,86.4174097342103,33.1072890087886,61.3973112524707,51.8374106608665,54.6904017506971,58.3396549599593,64.3010410551162,47.949852443548,72.6895752242054,84.8036207856772,32.6379036474924,63.3311850998037,76.9668606978187,122.684390980876,54.8130524600583,73.4212864395105,61.6580525403842,81.956783691973,105.419029251955
"PBX1",159.29947360655,274.836459064092,162.692073426679,254.735662526255,166.438880416413,288.724827971865,213.56194008476,219.383656027461,326.863543186702,232.371743677641,303.726519815134,300.156175346768,366.025005774857,181.944522980889,351.228157820711,233.980449967309,288.478071171452,301.36562131414,754.524123924029,195.834912917857,322.66228492008,326.505085377697,428.335662526255,337.13876463854
"DRD2",93.7330948988452,104.051882285194,105.7827462483,129.851721225875,146.302922225422,118.803505827457,100.352866310159,110.699086610581,154.908866909503,114.67830874617,139.863786305045,113.656466734257,145.376802161235,144.15140548431,128.199287206066,117.793797019943,121.321756402709,150.712850817951,256.336997748931,106.062412461603,179.074176783658,153.941027082269,140.790032760322,106.171772772104
