"Gene.symbol","Cell.type","SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Stress","TopologicalCoefficient","PDMalacards","DEG"
"ACAA2","Astrocytes",5875,3.9924338,0,0.25047378,0,1,7,"false","ACAA2",57,1,0,0,0.66750736,"false",0,0,0,FALSE,FALSE
"AGAP2","Neurons",6344,3.89617486,0,0.25666199,0,1,6,"false","AGAP2",171,1,0,0,0.67820279,"false",0,0,0,FALSE,FALSE
"AHCYL1","Astrocytes",5049,4.16435477,0,0.24013324,0,1,7,"false","AHCYL1",15,1,0,0,0.64840503,"false",0,0,0,FALSE,FALSE
"AMOT","Astrocytes",2558,4.24968474,0.00045573,0.23531157,0,2,7,"false","AMOT",46.5,2,0,0,0.63892392,"false",0,5482,0.5,FALSE,FALSE
"APBA1","Neurons",8565,4.11979823,0,0.24273033,0,2,7,"false","APBA1",14,2,0,1,0.65335575,"false",0,0,0,FALSE,FALSE
"ATG16L1","Neurons",7462,4.03446826,0,0.24786414,0,1,6,"false","ATG16L1",44,1,0,0,0.66283686,"false",0,0,0,FALSE,FALSE
"ATP13A2","Neurons",2716,4.04497688,2.973e-05,0.2472202,0,2,6,"false","ATP13A2",31,2,0,0,0.66166924,"false",0,1052,0.50847458,FALSE,FALSE
"ATP8A2","Neurons",8024,1,0,1,0,1,1,"false","ATP8A2",1,1,0,0,1,"false",0,0,0,FALSE,TRUE
"BCL7A","Neurons",8611,4.1382934,0,0.24164551,0,1,7,"false","BCL7A",38,1,0,0,0.65130073,"false",0,0,0,FALSE,FALSE
"BIRC3","Endothelial",2956,3.97562001,0.00019746,0.25153309,0,2,6,"false","BIRC3",56.5,2,0,0,0.66937555,"false",0,6146,0.50917431,FALSE,FALSE
"BLNK","Microglia",4530,3.81925179,0.00031132,0.26183139,0,3,6,"false","BLNK",116.5,3,0,1,0.6867498,"false",0,22646,0.51106195,FALSE,FALSE
"BMPR1B","Astrocytes",7159,4.04413619,3.23e-05,0.24727159,0,2,6,"false","BMPR1B",32.5,2,0,0,0.66176265,"false",0,6230,0.53389831,FALSE,FALSE
