"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6836","7.0","0.0","0.14285714","0.0","1","10","false","SF3A2","2.0","1","0","0","0.4","false","0","SF3A2","0","0.0"
"6780","6.12345679","0.0","0.16330645","0.0","1","10","false","RTCA","3.0","1","0","0","0.48765432","false","0","RTCA","0","0.0"
"6781","4.22222222","0.04876543","0.23684211","0.0","2","8","false","RUNX2","7.5","2","0","0","0.67777778","false","0","RUNX2","404","0.5"
"6714","5.9382716","0.02469136","0.16839917","0.0","2","9","false","ADSS","2.5","2","0","0","0.50617284","false","0","ADSS","270","0.5"
"6715","6.92592593","0.0","0.14438503","0.0","1","10","false","ICK","2.0","1","0","0","0.40740741","false","0","ICK","0","0.0"
"6784","4.37037037","0.08976631","0.22881356","0.0","4","7","false","SDHA","2.0","4","0","0","0.66296296","false","0","SDHA","1044","0.25"
"6785","5.91358025","0.0","0.1691023","0.0","1","10","false","ACLY","7.0","1","0","0","0.50864198","false","0","ACLY","0","0.0"
"6786","4.92592593","0.14351852","0.20300752","0.0","7","9","false","SFXN1","1.42857143","7","0","0","0.60740741","false","0","SFXN1","1662","0.14285714"
"6787","5.91358025","0.0","0.1691023","0.0","1","10","false","EPS15","7.0","1","0","0","0.50864198","false","0","EPS15","0","0.0"
"6720","5.9382716","0.02469136","0.16839917","0.0","2","9","false","VAV1","2.5","2","0","0","0.50617284","false","0","VAV1","270","0.5"
"6788","5.91358025","0.0","0.1691023","0.0","1","10","false","IARS","7.0","1","0","0","0.50864198","false","0","IARS","0","0.0"
"6721","4.97530864","0.11975309","0.20099256","0.0","4","8","false","LYL1","2.5","4","0","0","0.60246914","false","0","LYL1","1326","0.25"
"6789","4.08641975","0.17909979","0.24471299","0.0","4","8","false","PSMD12","4.75","4","0","0","0.69135802","false","0","PSMD12","2150","0.26785714"
"6722","6.18518519","0.0","0.16167665","0.0","1","9","false","NDUFA5","2.0","1","0","0","0.48148148","false","0","NDUFA5","0","0.0"
"6723","5.19753086","0.02469136","0.19239905","0.0","2","8","false","MDH1","3.0","2","0","0","0.58024691","false","0","MDH1","276","0.5"
"6790","5.91358025","0.0","0.1691023","0.0","1","10","false","RAB11A","7.0","1","0","0","0.50864198","false","0","RAB11A","0","0.0"
"6791","5.91358025","0.0","0.1691023","0.0","1","10","false","STRAP","7.0","1","0","0","0.50864198","false","0","STRAP","0","0.0"
"6792","5.91358025","0.0","0.1691023","0.0","1","10","false","STXBP1","7.0","1","0","0","0.50864198","false","0","STXBP1","0","0.0"
"6725","5.13580247","0.04907407","0.19471154","0.0","3","9","false","BCAS2","1.33333333","3","0","0","0.58641975","false","0","BCAS2","406","0.33333333"
"6726","6.12345679","0.0","0.16330645","0.0","1","10","false","MRPL15","3.0","1","0","0","0.48765432","false","0","MRPL15","0","0.0"
"6795","3.51851852","0.16654321","0.28421053","0.0","3","7","false","SNAP91","7.33333333","3","0","0","0.74814815","false","0","SNAP91","1676","0.35185185"
"6798","4.11111111","0.0689925","0.24324324","0.0","5","8","false","SRPRB","3.0","5","0","0","0.68888889","false","0","SRPRB","1126","0.25"
"6799","5.09876543","0.0","0.19612591","0.0","1","9","false","DLD","5.0","1","0","0","0.59012346","false","0","DLD","0","0.0"
"6735","4.2962963","0.05503748","0.23275862","0.0","4","7","false","IARS2","3.75","4","0","0","0.67037037","false","0","IARS2","648","0.275"
"6736","5.28395062","0.0","0.18925234","0.0","1","8","false","NDUFA8","4.0","1","0","0","0.57160494","false","0","NDUFA8","0","0.0"
"6800","4.56790123","0.0","0.21891892","0.0","1","7","false","SUMO1","4.0","1","0","0","0.64320988","false","0","SUMO1","0","0.0"
"6802","4.27160494","0.0","0.23410405","0.0","1","8","false","TERF2IP","13.0","1","0","0","0.67283951","false","0","TERF2IP","0","0.0"
"6740","4.48148148","0.0","0.2231405","0.0","1","8","false","NME1","6.0","1","0","0","0.65185185","false","0","NME1","0","0.0"
"6741","3.87654321","0.04611552","0.25796178","0.0","2","8","false","NPTN","10.5","2","0","0","0.71234568","false","0","NPTN","526","0.5"
