"SUID","name","selected","shared name"
"536","DYRK1B","false","DYRK1B"
"537","ADRA2C","false","ADRA2C"
"539","EPN1","false","EPN1"
"541","TNFRSF10D","false","TNFRSF10D"
"543","BANP","false","BANP"
"544","AHSA1","false","AHSA1"
"546","IRF5","false","IRF5"
"547","AKT2","false","AKT2"
"550","TOLLIP","false","TOLLIP"
"551","ATP6V0A1","false","ATP6V0A1"
"553","MEGF6","false","MEGF6"
"554","ATP6V1B1","false","ATP6V1B1"
"556","UBTD1","false","UBTD1"
"558","PPIA","false","PPIA"
"559","ATP6V1E1","false","ATP6V1E1"
"561","PPP2CA","false","PPP2CA"
"563","PSMC6","false","PSMC6"
"565","SUCLA2","false","SUCLA2"
"567","TMEM30A","false","TMEM30A"
"569","UBE2E3","false","UBE2E3"
"571","HLTF","false","HLTF"
"572","ATP6V1H","false","ATP6V1H"
"574","MYOG","false","MYOG"
"575","BCAM","false","BCAM"
"577","RASA1","false","RASA1"
"578","CCT6A","false","CCT6A"
"580","COX5A","false","COX5A"
"582","ANXA6","false","ANXA6"
"583","CRMP1","false","CRMP1"
"585","ATP13A2","false","ATP13A2"
"587","SYN1","false","SYN1"
"589","TUBB3","false","TUBB3"
"591","UBXN8","false","UBXN8"
"592","CTH","false","CTH"
"594","DDX1","false","DDX1"
"596","DYNC1H1","false","DYNC1H1"
"597","DHX30","false","DHX30"
"599","DNM1","false","DNM1"
"601","TSPAN7","false","TSPAN7"
"602","DOK5","false","DOK5"
"604","TULP2","false","TULP2"
"605","E2F1","false","E2F1"
"607","ECT2","false","ECT2"
"609","TUBA1B","false","TUBA1B"
"610","ENO2","false","ENO2"
"612","UCHL1","false","UCHL1"
"614","TSN","false","TSN"
"615","EXOSC7","false","EXOSC7"
"617","F10","false","F10"
"619","GNMT","false","GNMT"
"621","GABARAPL2","false","GABARAPL2"
"623","PYGB","false","PYGB"
"624","GABBR1","false","GABBR1"
"626","KCNN4","false","KCNN4"
"627","GNAI2","false","GNAI2"
"629","SRM","false","SRM"
"630","HDAC5","false","HDAC5"
"632","SLC25A46","false","SLC25A46"
"633","HIGD1A","false","HIGD1A"
"635","ADSS","false","ADSS"
"636","ICK","false","ICK"
"638","TFAP4","false","TFAP4"
"639","IRS4","false","IRS4"
"641","DHX16","false","DHX16"
"642","LRPAP1","false","LRPAP1"
"644","VAV1","false","VAV1"
"645","LYL1","false","LYL1"
"647","NDUFA5","false","NDUFA5"
"648","MDH1","false","MDH1"
"651","MED4","false","MED4"
"653","BCAS2","false","BCAS2"
"654","MRPL15","false","MRPL15"
"656","PLS3","false","PLS3"
"657","MRPL19","false","MRPL19"
"659","PIK3R2","false","PIK3R2"
"660","MRPL41","false","MRPL41"
"662","CD4","false","CD4"
"663","NAT2","false","NAT2"
"666","DNAJC12","false","DNAJC12"
"667","NDEL1","false","NDEL1"
"669","IARS2","false","IARS2"
"670","NDUFA8","false","NDUFA8"
"672","C1QBP","false","C1QBP"
"673","NDUFS3","false","NDUFS3"
"675","NDUFB6","false","NDUFB6"
"677","NME1","false","NME1"
"679","NPTN","false","NPTN"
"681","FBP1","false","FBP1"
"682","OAS3","false","OAS3"
"684","COPS5","false","COPS5"
"685","PARK7","false","PARK7"
"687","CYCS","false","CYCS"
"689","EIF1B","false","EIF1B"
"692","MAP2K1","false","MAP2K1"
"695","RAB22A","false","RAB22A"
"697","RAN","false","RAN"
"699","UQCRFS1","false","UQCRFS1"
"701","RTN4","false","RTN4"
"702","PDHA1","false","PDHA1"
"705","PDHB","false","PDHB"
"707","PGK1","false","PGK1"
"709","APOA1","false","APOA1"
"710","PIGR","false","PIGR"
"714","ATP6V1B2","false","ATP6V1B2"
"715","PIK3CB","false","PIK3CB"
"717","CUL3","false","CUL3"
"720","REEP5","false","REEP5"
"725","TXNL1","false","TXNL1"
"727","VDR","false","VDR"
"728","PLA2G2A","false","PLA2G2A"
"730","EEF1A2","false","EEF1A2"
"731","PPP2R1A","false","PPP2R1A"
"733","PSMD6","false","PSMD6"
"734","PRDM4","false","PRDM4"
"736","PSMA7","false","PSMA7"
"738","PSMC5","false","PSMC5"
"741","UQCRC1","false","UQCRC1"
"743","PYCARD","false","PYCARD"
"745","RAB1A","false","RAB1A"
"748","PHB2","false","PHB2"
"749","RBM42","false","RBM42"
"751","GAB2","false","GAB2"
"752","RPL3","false","RPL3"
"754","RPL23A","false","RPL23A"
"755","RPL32","false","RPL32"
"757","RTCA","false","RTCA"
"759","RUNX2","false","RUNX2"
"761","VPS28","false","VPS28"
"762","SCO2","false","SCO2"
"764","SDHA","false","SDHA"
"768","ACLY","false","ACLY"
"769","SFXN1","false","SFXN1"
"771","EPS15","false","EPS15"
"773","IARS","false","IARS"
"775","PSMD12","false","PSMD12"
"777","RAB11A","false","RAB11A"
"779","STRAP","false","STRAP"
"781","STXBP1","false","STXBP1"
"783","PGRMC1","false","PGRMC1"
"784","SNAP25","false","SNAP25"
"786","SNAP91","false","SNAP91"
"790","CTR9","false","CTR9"
"791","SNX7","false","SNX7"
"794","SRPRB","false","SRPRB"
"796","DLD","false","DLD"
"801","SUMO1","false","SUMO1"
"803","SV2A","false","SV2A"
"805","TERF2IP","false","TERF2IP"
"807","SNX6","false","SNX6"
"808","TNFAIP8","false","TNFAIP8"
"810","LAPTM4B","false","LAPTM4B"
"811","TRIM37","false","TRIM37"
"815","UBE2K","false","UBE2K"
"817","NDUFV2","false","NDUFV2"
"818","TTC1","false","TTC1"
"820","TUBA4A","false","TUBA4A"
"822","LSM2","false","LSM2"
"823","TUFM","false","TUFM"
"825","UBE2V2","false","UBE2V2"
"828","UQCRC2","false","UQCRC2"
"832","VIM","false","VIM"
"834","YARS","false","YARS"
"836","POT1","false","POT1"
"838","HMG20A","false","HMG20A"
"840","DYNLT1","false","DYNLT1"
"841","ARHGEF11","false","ARHGEF11"
"844","BMP8B","false","BMP8B"
"846","CLSPN","false","CLSPN"
"848","ANXA7","false","ANXA7"
"849","FOSL1","false","FOSL1"
"853","LRIF1","false","LRIF1"
"856","BTBD3","false","BTBD3"
"859","NR4A1","false","NR4A1"
"861","TOB1","false","TOB1"
"862","OPRK1","false","OPRK1"
"864","XRCC2","false","XRCC2"
"867","DCP2","false","DCP2"
"869","EIF4EBP1","false","EIF4EBP1"
"871","RORC","false","RORC"
"873","RRAS","false","RRAS"
"875","PTBP2","false","PTBP2"
"879","SF3A2","false","SF3A2"
"881","GIT1","false","GIT1"
"882","SUCLG2","false","SUCLG2"
