"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"12783","7.56038647","0.0","0.13226837","0.0","1","13","false","SFXN1","3.0","1","0","0","0.49535489","false","0","SFXN1","0","0.0"
"12785","4.67149758","0.09917212","0.21406412","0.0","4","10","false","ITGA5","6.0","4","0","0","0.71757711","false","0","ITGA5","17866","0.25"
"12786","5.66666667","0.0","0.17647059","0.0","1","11","false","SIRT2","4.0","1","0","0","0.64102564","false","0","SIRT2","0","0.0"
"12788","9.07729469","0.0","0.11016498","0.0","1","13","false","AP1S1","2.0","1","0","0","0.37866964","false","0","AP1S1","0","0.0"
"12789","8.0821256","0.00966184","0.12372983","0.0","2","12","false","SNAPC4","1.5","2","0","0","0.45522111","false","0","SNAPC4","3168","0.5"
"12791","5.15458937","0.04554675","0.19400187","0.0","4","9","false","SNRNP27","3.0","4","0","0","0.6804162","false","0","SNRNP27","3532","0.25"
"12793","6.14975845","0.0","0.16260801","0.0","1","10","false","MPHOSPH10","4.0","1","0","0","0.60386473","false","0","MPHOSPH10","0","0.0"
"12802","5.20772947","0.0","0.19202226","0.0","1","9","false","SNX2","5.0","1","0","0","0.6763285","false","0","SNX2","0","0.0"
"12804","4.45410628","0.0345657","0.22451193","0.0","3","9","false","SRPRB","7.0","3","0","0","0.73429952","false","0","SRPRB","8462","0.4"
"12808","5.7826087","0.0","0.17293233","0.0","1","11","false","STMN1","8.0","1","0","0","0.63210702","false","0","STMN1","0","0.0"
"12810","4.79227053","0.03705744","0.20866935","0.0","3","8","false","STRAP","5.0","3","0","0","0.70828688","false","0","STRAP","6240","0.33333333"
"12812","4.91304348","0.01174944","0.20353982","0.0","3","9","false","SUCLA2","3.66666667","3","0","0","0.69899666","false","0","SUCLA2","1970","0.38095238"
"12814","5.68115942","0.0","0.17602041","0.0","1","9","false","SUCLG2","7.0","1","0","0","0.63991081","false","0","SUCLG2","0","0.0"
"12819","4.31400966","0.1328017","0.23180291","0.01818182","11","8","false","TBPL1","3.27272727","11","0","0","0.74507618","false","0","TBPL1","34470","0.12272727"
"12823","5.30917874","0.0","0.18835305","0.0","1","9","false","RIOK2","11.0","1","0","0","0.66852471","false","0","RIOK2","0","0.0"
"12831","5.7826087","0.0","0.17293233","0.0","1","11","false","TMEM246","8.0","1","0","0","0.63210702","false","0","TMEM246","0","0.0"
"12833","7.3236715","0.0","0.13654354","0.0","1","11","false","TMSB10","4.0","1","0","0","0.51356373","false","0","TMSB10","0","0.0"
"12835","4.3236715","0.11163734","0.23128492","0.0","7","9","false","TRIM37","4.14285714","7","0","0","0.74433296","false","0","TRIM37","24188","0.16541353"
"12840","5.31884058","0.0","0.1880109","0.0","1","10","false","TTC1","7.0","1","0","0","0.66778149","false","0","TTC1","0","0.0"
"12842","7.04347826","0.0","0.14197531","0.0","1","11","false","DLX5","2.0","1","0","0","0.53511706","false","0","DLX5","0","0.0"
"12843","6.04830918","0.00966184","0.16533546","0.0","2","10","false","TROAP","2.5","2","0","0","0.61166852","false","0","TROAP","880","0.5"
"12845","5.88405797","0.0","0.16995074","0.0","1","10","false","TSC22D4","6.0","1","0","0","0.62430323","false","0","TSC22D4","0","0.0"
"12847","6.0821256","0.01829606","0.1644162","0.0","2","9","false","TSPAN7","3.5","2","0","0","0.60906726","false","0","TSPAN7","2030","0.5"
"12849","6.05797101","0.0","0.16507177","0.0","1","10","false","DSG1","4.0","1","0","0","0.61092531","false","0","DSG1","0","0.0"
"12850","5.06280193","0.03831903","0.19751908","0.0","4","9","false","TTC23","3.0","4","0","0","0.68747677","false","0","TTC23","3506","0.25"
"12852","6.05797101","0.0","0.16507177","0.0","1","10","false","PEX10","4.0","1","0","0","0.61092531","false","0","PEX10","0","0.0"
"12859","5.88405797","0.0","0.16995074","0.0","1","10","false","TXN2","6.0","1","0","0","0.62430323","false","0","TXN2","0","0.0"
"12861","6.16908213","0.00701051","0.16209867","0.0","2","10","false","CUL1","3.0","2","0","0","0.6023783","false","0","CUL1","1360","0.5"
"12862","6.352657","0.02127835","0.15741445","0.0","4","11","false","UBC","1.75","4","0","0","0.58825715","false","0","UBC","2866","0.25"
"12864","7.34782609","0.0","0.13609467","0.0","1","12","false","POR","4.0","1","0","0","0.51170569","false","0","POR","0","0.0"
"12867","5.53140097","0.0","0.18078603","0.0","1","11","false","UBE2B","8.0","1","0","0","0.65143069","false","0","UBE2B","0","0.0"
