Rank,ID,Entrez ID,Master molecule name,Maximal radius,Reached from set,Reachable total,Score,FDR,Z-Score,Ranks sum,Hits,Hit names
1,P15408,2355,fosl2,4,29,3272,0.45623237,0.011,2.9956536,28,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
2,P15407,8061,fosl1,4,30,3322,0.47385836,0.017,2.3904474,50,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
3,Q9P0U3,29843,senp1,4,29,3178,0.42019632,0.018,2.5045416,54,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1"",""xrcc2""]"
4,O60641,9892,snap91,4,24,2815,0.36134526,0.007,3.8716817,61,"[""10987"",""11315"",""1978"",""2060"",""22858"",""29108"",""310"",""3164"",""4591"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""7336"",""7341"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1""]"
5,P55789,2671,gfer,4,31,3385,0.4789119,0.017,2.1622481,63,"[""10286"",""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8766"",""8803"",""9892""]","[""anxa7"",""bcas2"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""rab11a"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
6,Q14108,950,scarb2,4,29,3291,0.41845724,0.022,2.315261,63,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
7,O00255,4221,men1,4,29,3383,0.51593804,0.02,2.049837,67,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
8,P17535,3727,jund,4,31,3421,0.5059578,0.012,2.0940685,67,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""310"",""3164"",""4591"",""4830"",""5230"",""5291"",""54205"",""5478"",""5515"",""5604"",""5688"",""57142"",""5901"",""6596"",""6812"",""7336"",""7341"",""7384"",""7409"",""8061"",""8452"",""860"",""8803"",""9892""]","[""anxa7"",""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""pik3cb"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""ran"",""rtn4"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""uqcrc1"",""vav1""]"
9,Q13586,6786,stim1,4,27,2956,0.3815989,0.021,2.781396,68,"[""10987"",""11315"",""1978"",""2060"",""22858"",""27020"",""29108"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""ick"",""map2k1"",""nme1"",""nptn"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""pycard"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
10,P46060,5905,rangap1,4,25,2472,0.32363468,0.013,3.428812,70,"[""10987"",""11315"",""1978"",""2060"",""3164"",""4591"",""4830"",""5230"",""54205"",""5478"",""5515"",""5604"",""5688"",""5901"",""6596"",""6812"",""7336"",""7341"",""7409"",""7516"",""8061"",""8452"",""860"",""8803"",""9892""]","[""cops5"",""cul3"",""cycs"",""eif4ebp1"",""eps15"",""fosl1"",""hltf"",""map2k1"",""nme1"",""nr4a1"",""park7"",""pgk1"",""ppia"",""ppp2ca"",""psma7"",""ran"",""runx2"",""snap91"",""stxbp1"",""sucla2"",""sumo1"",""trim37"",""ube2v2"",""vav1"",""xrcc2""]"
