hgnc_symbol,uniprotswissprot
ACAT2,Q9BWD1
ACP2,P11117
ADH1B,P00325
AGRP,O00253
AIFM1,O95831
AKAP12,Q02952
AKAP6,Q13023
ALAS1,P13196
ALDH1A1,P00352
ANGPT2,O15123
ANXA6,P08133
AP1S1,P61966
AREL1,O15033
ATG14,Q6ZNE5
ATP2B2,Q01814
ATP6V1E1,P36543
AZU1,P20160
BANP,Q8N9N5
BFSP1,Q12934
BMP8B,P34820
BPGM,P07738
BRF2,Q9HAW0
BTBD3,Q9Y2F9
C1QB,P02746
CALML4,Q96GE6
CASP6,P55212
CASP7,P55210
CCDC40,Q4G0X9
CCDC51,Q96ER9
CD48,P09326
CD84,Q9UIB8
CEL,P19835
CIRBP,Q14011
CLIC2,O15247
COPS5,Q92905
CROCC,Q5TZA2
CXorf40A,Q8TE69
DDX42,Q86XP3
DNAJB1,P25685
DYNC1H1,Q14204
DYNC1I1,O14576
EFNA4,P52798
ELOVL6,Q9H5J4
ENOPH1,Q9UHY7
FABP3,P05413
FAM118A,Q9NWS6
FECH,P22830
FHIT,P49789
FLCN,Q8NFG4
FLRT1,Q9NZU1
FLT1,P17948
FZD5,Q13467
GABARAPL1,Q9H0R8
GAL3ST4,Q96RP7
HLTF,Q14527
HNRNPA0,Q13151
HNRNPM,P52272
HP1BP3,Q5SSJ5
HSPA1L,P34931
IARS2,Q9NSE4
IGF1R,P08069
IL17RB,Q9NRM6
IMP4,Q96G21
ITFG2,Q969R8
ITPA,Q9BY32
JMJD6,Q6NYC1
KCNQ1,P51787
KCTD5,Q9NXV2
KLHL36,Q8N4N3
LAG3,P18627
LAMB2,P55268
LDLRAD4,O15165
LETMD1,Q6P1Q0
LRRC1,Q9BTT6
LYVE1,Q9Y5Y7
MAP1B,P46821
MAP1LC3B,Q9GZQ8
MAVS,Q7Z434
MECR,Q9BV79
METTL7A,Q9H8H3
MFAP5,Q13361
MFN2,O95140
MRPL15,Q9P015
MRPS22,P82650
MS4A6A,Q9H2W1
MSX1,P28360
MT1M,Q8N339
MTCL1,Q9Y4B5
MYO1C,O00159
MZT2B,Q6NZ67
NDUFAB1,O14561
NDUFS1,P28331
NDUFS3,O75489
NDUFV2,P19404
NIPSNAP1,Q9BPW8
NPIPB15,A6NHN6
NR6A1,Q15406
NRXN3,Q9HDB5
P4HA1,P13674
PAWR,Q96IZ0
PCCB,P05166
PEX14,O75381
PGAM1,P18669
PGF,P49763
PGPEP1,Q9NXJ5
PGRMC1,O00264
PITPNA,Q00169
PLEKHB2,Q96CS7
PLIN2,Q99541
PPP2R1B,P30154
PPP2R2B,Q00005
PRC1,O43663
PRPF4,O43172
PTBP2,Q9UKA9
PTDSS1,P48651
PTP4A1,Q93096
RAD52,P43351
RBL1,P28749
RBM38,Q9H0Z9
RCC1,P18754
RDH16,O75452
RTN4,Q9NQC3
RUNX3,Q13761
RWDD2B,P57060
SAFB2,Q14151
SARS,P49591
SDCCAG3,Q96C92
SDHA,P31040
SERINC3,Q13530
SERPINH1,P50454
SERTAD3,Q9UJW9
SEZ6L2,Q6UXD5
SLC23A2,Q9UGH3
SLC25A46,Q96AG3
SLC6A1,P30531
SLC7A9,P82251
SLC9A1,P19634
SMAD6,O43541
SNCA,P37840
SOX12,O15370
SRRD,Q9UH36
ST20,Q9HBF5
ST3GAL5,Q9UNP4
ST6GAL1,P15907
STAT4,Q14765
STIP1,P31948
SYT11,Q9BT88
TAF4,O00268
TAL1,P17542
TAZ,Q16635
TBX6,O95947
TCF3,P15923
TMED3,Q9Y3Q3
TMEM208,Q9BTX3
TMEM246,Q9BRR3
TNFAIP8,O95379
TNFRSF10D,Q9UBN6
TOMM20,Q15388
TOR1AIP2,Q8NFQ8
TRIM5,Q9C035
TUBG1,P23258
TULP2,O00295
UCHL1,P09936
VPS4B,O75351
WDR77,Q9BQA1
WDYHV1,Q96HA8
ZC3HAV1,Q7Z2W4
ZMYND8,Q9ULU4
ZNF629,Q9UEG4
