hgnc_symbol,uniprotswissprot
ACLY,P53396
ACMSD,Q8TDX5
ADSS,P30520
ANXA7,P20073
ATP6V1B2,P21281
ATP6V1E1,P36543
ATP6V1H,Q9UI12
BCAS2,O75934
BCKDK,O14874
BMP8B,P34820
BST1,Q10588
BTBD3,Q9Y2F9
CCDC62,Q6P9F0
COPS5,Q92905
COX5A,P20674
CUL3,Q13618
CYCS,P99999
DDRGK1,Q96HY6
DDX1,Q92499
DGKQ,P52824
DLD,P09622
DLG2,Q15700
EIF1B,O60739
EIF4EBP1,Q13541
EPS15,P42566
FAM47E,Q6ZV65
FGF20,Q9NP95
FOSL1,P15407
GABARAPL2,P60520
GAK,O14976
GBA,P04062
GCH1,P30793
GPNMB,Q14956
HLA-DQB1,P01920
HLTF,Q14527
IARS,P41252
IARS2,Q9NSE4
ICK,Q9UPZ9
INPP5F,Q9Y2H2
ITGA8,P53708
LAPTM4B,Q86VI4
LRRK2,Q5S007
LYL1,P12980
MAP2K1,Q02750
MAPT,P10636
MCCC1,Q96RQ3
MDH1,P40925
MMP16,P51512
MRPL15,Q9P015
NDUFA5,Q16718
NDUFA8,P51970
NMD3,Q96D46
NME1,P15531
NPTN,Q9Y639
NR4A1,P22736
NUCKS1,Q9H1E3
PARK7,Q99497
PDHA1,P08559
PDHB,P11177
PGK1,P00558
PIK3CB,P42338
PLA2G2A,P14555
PPIA,P62937
PPP2CA,P67775
PRDM4,Q9UKN5
PSMA7,O14818
PSMC5,P62195
PSMC6,P62333
PSMD12,O00232
PSMD6,Q15008
PTBP2,Q9UKA9
PYCARD,Q9ULZ3
RAB11A,P62491
RAB1A,P62820
RAB22A,Q9UL26
RAB7L1,O14966
RAI1,Q7Z5J4
RAN,P62826
REEP5,Q00765
RIT2,Q99578
RRAS,P10301
RTCA,O00442
RTN4,Q9NQC3
RUNX2,Q13950
SCARB2,Q14108
SDHA,P31040
SEPT4,O43236
SF3A2,Q15428
SFXN1,Q9H9B4
SIPA1L2,Q9P2F8
SNAP91,O60641
SNCA,P37840
SPPL2B,Q8TCT7
SRPRB,Q9Y5M8
STK39,Q9UEW8
STRAP,Q9Y3F4
STX1B,P61266
STXBP1,P61764
SUCLA2,Q9P2R7
SUMO1,P63165
SYT11,Q9BT88
TERF2IP,Q9NYB0
TMEM163,Q8TC26
TMEM175,Q9BSA9
TMEM229B,Q8NBD8
TMEM30A,Q9NV96
TRIM37,O94972
TXNL1,O43396
UBE2E3,Q969T4
UBE2K,P61086
UBE2V2,Q15819
UQCRC1,P31930
UQCRC2,P22695
UQCRFS1,P47985
USP25,Q9UHP3
VAV1,P15498
VDR,P11473
VPS13C,Q709C8
XRCC2,O43543
YARS,P54577
