"","GSM850449","GSM850450","GSM850451","GSM850452","GSM850457","GSM850458"
"LOC105379547",6.26577949782184,6.58803856352026,5.68547150884659,5.41335874845825,22.8414764032223,13.943192304113
"FGFR1OP",25.8117311727606,29.631607730048,26.5797752391404,26.1666803028665,66.374399565963,55.990338614655
"LOC105379106",29.7202840642302,30.264151533038,28.4396932687892,26.1499992503246,12.6208747365005,14.9009871151325
"LOC100507664",14.2253475953505,11.5378859285718,14.116220835965,10.990575293871,36.2888894112771,26.0131463137214
"PRDM11",65.5956845533064,46.8577897580642,54.0949869956418,52.5883380895726,20.8809001362528,26.6903070966036
"LOC101929206",50.7685446952346,83.4964526024398,51.6921032933916,42.7077207396366,17.7918916217855,19.8592880711803
"AKAP3",37.4481877978951,34.6198843456249,45.7605662722502,39.9172658239936,91.5269689911707,76.1310990293136
"HNRNPA0",52.544978739056,49.2367967214622,48.4895513454688,63.3489586949657,28.5781376826424,25.2523019153678
"HDGFRP3",35.0154324464435,43.8144547428519,48.6746938594668,53.4978126299329,22.7294520545928,14.2750213678114
"LOC105369812",39.7327019638557,41.3817284369029,41.817038842844,37.1246366299543,20.1358853209127,23.3271637215896
"PPP2R3C",20.7435513021041,31.9124617871833,29.9723437977634,15.1420433658111,64.5551370893222,72.9701745660045
"GLUL",37.2266270398068,50.5031335529397,69.0003129443974,51.6091154938742,19.8111400678983,23.737613607937
"PAX8-AS1",20.2155703162947,16.2851488359419,20.9484413445709,15.5449169083036,10.2061510951296,7.6485962834612
"WNT7A",13.6308913434119,12.8693920754143,9.37564536067539,6.87453913808729,33.8245304071759,22.7877092677293
"LOC105375918",5.47872427620235,5.16743379498054,5.9976444522389,5.87523272627567,9.82249140309806,9.50541753439038
"LOC105378846",7.31608075671291,6.10344169748991,6.34707548271181,5.33112865957446,13.2307046995376,10.5455906758475
"LOC105369993",18.9693586861927,26.2295472454929,18.668886811666,25.2165849250123,38.6417626682078,61.1473893507772
"PAX9",18.9599466547872,19.688045610046,14.8253267809503,7.46118613608212,53.2770021352008,41.1349276237822
"LOC101930523",48.711145326488,31.731240105979,40.9695175819004,32.1105395142347,15.4035822785956,20.5987230508586
"LOC105374124",22.0454343987617,18.1565350085878,15.2690246082901,18.1882268752442,32.5510685898984,34.3775064844359
"IL1RAPL2",8.05868811754883,9.7380708697665,10.2485080764714,11.2761525842876,16.5460965430036,19.2698441715371
"CXADRP2",7.84645501741496,7.165398790695,7.55722197986775,8.01955397345737,11.9178575208946,13.9311456496645
"BNIP3",186.255988292597,190.011377947612,201.151822628682,185.275331991754,113.483913673994,118.106290791777
"LOC101926908",36.9986313866087,31.8512260029255,33.4024032281496,31.5662067482104,20.407492188966,19.5604682273064
"DNAJC10",11.0392480526091,16.9829832325999,12.6888023522548,13.267521669911,5.58736860636211,7.86410181449788
"LOC101929754",5.50558169304599,6.41547461751368,6.1785487066251,5.59078164577341,11.2897998143046,9.19054872048063
"LOC102725126",70.2048112964769,58.7459707968844,66.3781262560409,74.8648702976018,43.1089643946307,30.3691158044968
"LOC147004",15.2920296770984,14.5671626937564,17.0716902495838,13.1326758720548,23.8718422168782,29.1430506640102
"MIAT",92.2853667737557,149.010377780532,116.066997157581,195.590840448673,45.3960856788844,63.1216056881943
"LINC00863",68.5558559858192,89.2881615315771,99.5459695704476,101.637007950079,50.5339132946434,43.2404910001175
"LOC105377669",79.7197344836713,100.415557860991,65.4599683624852,91.4438347526786,45.5340537989153,42.9861798600009
"LOC105373730",18.6377525926233,11.4964696539621,15.5025109134502,23.7696210827141,83.0190201955699,33.6763062151964
"LOC105374994",110.934631102174,126.861104697596,124.154263948979,150.344470711915,78.6200295010334,69.0962734916342
"LOC105374127",38.5608246548121,38.4337808327779,50.0516942497699,40.4707589759568,84.9730238244452,64.4298798819079
"LOC105375716",22.4412012718008,13.5221157805003,18.1030264374116,16.771327710719,9.68366385142583,8.89158121251164
"LOC105373690",17.3913979685419,28.2688051437229,20.2024309892662,21.7777650574612,46.3205025279882,36.6665595967511
"LINC00472",38.7640391511865,28.2933676451666,35.8088926375097,30.0336102033618,51.0613225265531,84.194144750825
"LOC105372266",34.9495021578211,47.5881016635071,46.6796552167411,50.2693454877734,28.3198751478808,18.3141393514786
"CST8",8.79244862445451,10.0010183204917,11.2044893988315,20.0754858786276,48.8107495103262,23.8019356863842
"LOC105378202",79.9458366983702,48.9561771050898,37.133721432883,36.2187537404715,17.64835730829,22.1523216242418
"ZNF287",88.6173942124492,48.0325334620114,71.9885722243052,108.633254937426,15.5671506689408,39.0272255513125
"NAMA",19.7706308385168,14.4739019655798,8.54818422278572,15.6555360228976,31.4847651285903,33.2436756470945
"ZNF550",41.0248456299005,37.3975019456335,34.7358380585265,35.3993754009335,20.3604141164772,25.0673572225789
"ABCD2",46.8659752678418,122.722843032372,65.6676535329448,147.83161250088,30.4811409343602,23.1299461170705
"ZFR2",82.8399627660487,81.736468125285,82.8575352372785,64.9050577489689,47.8509280375612,46.5345386783065
"LOC105372836",7.04265299436077,5.03196888014663,7.61249301898391,5.31731155455338,15.8814199082356,9.88870087622529
"LOC105374732",18.1313947128733,16.5965101038257,17.4923231408895,13.4651089684121,37.0810964886937,24.3608404157456
"FUNDC2",35.4252959341962,15.5629106481203,14.7841562058047,20.3151484249409,5.79141949252802,9.63136314586075
"ARIH1",9.09753060849939,17.080472737795,22.5137269974769,24.6979774956776,6.93116085405119,5.74836631278601
"PSMG4",18.0506514504705,16.9275702337513,15.1343729783602,17.1877405535038,11.2567464593989,9.87578891046266
"IGHVIII-82",11.958653073436,11.4296316140372,7.1305729322782,7.89117973535591,19.3120177219054,17.4082708111829
"CLEC2D",35.4140515547682,29.9055221054775,35.768184806647,23.2940889256509,59.4938237437062,51.6478360873494
"LOC102724271",5.9040216018774,6.65724839941565,7.06806349399537,6.47554222088154,10.2985120226302,10.1142048593693
"LOC105373426",36.0295318224113,32.6768950414181,30.6938561147597,30.9555245232747,21.6000687622756,19.8083938510796
"OR10H3",23.9430161862005,32.8288429950437,32.1886909196599,24.4029727280054,47.5639953279887,47.9627674668077
"JAZF1-AS1",18.6963663033702,25.8974653586129,21.9409334558036,35.0526837286062,11.0525319527417,13.95585879058
"LOC105375917",11.4726836826752,12.4287732429992,13.3038601212849,9.19815812998989,17.8753303605246,21.8014320810757
"DCST2",83.7951012614132,98.9138748617759,98.2053693149155,90.2502485445062,151.124630305015,138.731924161279
"P2RX3",53.4119258993437,49.7078224697334,52.7153057400352,45.8442852562975,84.4267339858065,73.4833758125717
"LOC105370288",8.38575104330165,8.01259746090024,13.6168962798114,8.46193732423872,28.776315956932,15.1073425383374
"RPL34P31",79.5217719991155,90.003175592224,82.9466033989071,107.697876945047,32.6815839066099,61.7382207058292
"ZNF214",11.3133164025219,9.00790117620389,11.9922544955951,10.257391579998,6.58273901250388,6.57866112666716
"LOC105379800",70.9573388796035,79.6768661866188,38.9084606919911,57.1748590922917,25.6477791025482,31.5947293020928
"PTCHD1",73.0264907921919,89.2023615775094,59.8452982055052,110.205850187203,30.8375020217953,49.1066329211275
"KLF15",67.8497690579192,75.7923324465186,95.800879794049,81.5176750415892,115.810319264763,181.287670562263
"PDK1",22.3069134454835,26.6101732834529,20.8936841813058,25.0432170921511,11.5803824902515,16.5841021181102
"LOC105372705",32.9813603425682,39.859784355658,53.2907783598278,43.9951016490317,69.1929909829609,77.8588429483233
"POLR2F",205.141277120421,100.995835825374,116.490379270259,153.871155401283,81.3407281198438,39.2983272567925
"RNF115",13.6057822492586,16.2952886198399,9.64584080466002,20.7243651044381,5.7212762257149,7.97375899016861
"RFPL4AL1",7.4049397647277,8.52399649561484,10.6295749267231,8.89536620699807,14.9258480593895,13.8877502177862
"NIT2",43.4550216803859,51.917931503277,47.9156156395664,40.2308133432473,28.5910757931593,29.3472618790195
"LOC399716",62.9482340488158,35.2709615095284,25.3200438823337,66.6296772414301,16.324829285875,17.6949772277518
"KLKP1",55.6299151500881,43.9488953880196,47.7990155429956,50.4920378368339,80.3795725385253,73.7616488157475
"TRBVA",11.4065136453657,9.68669824308414,11.8055307645437,11.4619849345529,23.0283796982072,15.305624438598
"XXYLT1-AS2",30.2586559241044,35.6739979210119,35.1134050435623,35.0962504111876,54.875185255505,49.6538954683218
"LOC105369679",37.7465006980839,20.1084642870688,17.5744178997481,21.9983437109023,57.0128414381758,43.2714931818953
"ATOH8",20.3860590321977,22.4205381220191,23.4926735268881,23.549409831537,35.9880243730552,32.5952763122943
"RMDN2",15.0816252305479,26.3664055249528,24.8704378214417,25.9415899606626,48.7005783429867,38.4895260186663
"LOC105372113",17.9687980036851,21.491332052678,20.7184475549159,15.0367408735971,28.938796108137,32.8368538097015
"LINC01279",22.6362645767576,39.8755358244797,43.1165846866311,47.4093924508315,17.579291238592,18.1591277348052
"ZNF714",28.0267198282763,38.1091361316175,21.6919072243198,33.3586499989501,16.1062083921288,16.6454734411535
"ITPA",58.3544187654656,37.3028770486692,54.8700505574559,52.301774859044,25.4660447462339,31.8654692305572
"LOC105378597",73.9686992038346,73.2690497546967,80.2262245252898,67.5124654614634,113.706427677705,109.392271049245
"LOC105378988",25.334439396976,14.3483207855169,12.5227369082084,14.1355292972161,31.2250937875634,32.4227150313211
"CENPP",126.967284742408,132.608735058928,118.266281486303,131.356155666299,33.119569151499,90.6381808008085
"LOC105379837",16.652420623811,20.3947511664262,16.9984111720985,23.1926537439093,28.0111828229836,37.5694215992792
"PPIP5K2",73.9582406194428,61.7104538576146,50.2663141463819,45.0744192929937,33.3198730759223,31.8972468327215
"RPL31P11",113.189474670043,116.329726899289,97.4531558309153,82.7663252863506,71.453857822684,43.0288983810646
"OR52E5",86.0103278862187,61.5159235975356,67.7469926385665,66.0662246845197,43.904867881356,43.5634709120268
"HMHA1",62.1585523851901,77.4661964112171,60.9459310541751,59.9712442402155,161.696428147777,89.2498599396041
"LOC101927486",24.0734999563773,37.4076388106769,45.545922582669,36.72386505232,18.0866210106658,19.7770453307554
"VPS53",53.4238854493329,51.624428486311,65.3624429165117,62.3805773407259,38.3532252837335,36.437725460859
"SLC22A25",28.5513686549801,24.133529193777,27.8096753951806,18.743000210693,9.54992895159206,16.865135448885
"BLOC1S2",20.9932845621086,30.2637529629477,48.1734051599982,44.6474848366189,13.9306531853182,17.1842263907993
"LOC105375571",14.75208532259,14.4362487257102,14.1687541164513,13.0248332729902,20.1716892446501,21.8308742310409
"PDK4",90.0236403452381,60.2210935094614,72.8333853937171,96.7381471073721,116.553215804466,313.366902148371
"OR2L2",76.8594634510566,93.2691458316713,81.6290634555611,81.0444788236357,61.9031963797554,30.891413910375
"ZCCHC4",140.276837430985,79.9543155253481,73.6128131214701,88.0686716131705,37.4965511319891,56.6262465747275
"LINC01594",17.3157503424343,24.8245902502485,20.5957249002414,16.9223849105774,10.2470021975271,13.2489947855174
"LOC101929536",44.4509392973146,36.3046137804263,47.9610055005492,48.0267407223075,29.0126264423389,27.1993449137446
"LOC105372693",60.0479462981522,63.0149833395185,36.2970652330867,42.2162638398502,30.8521045536229,20.5829662271863
"KRTAP21-1",74.9983005698752,50.6728124975752,45.4278461483118,53.6682150041256,19.6250170188514,37.8094511002642
"KRTAP7-1",30.6117581158523,27.3789838887876,26.0719394222383,25.4307657711742,40.7066332674354,41.0690593800122
"LOC105378626",17.0172026981857,13.5846359624702,19.1775962910025,19.9576230358272,7.11134278718521,12.2433716052005
"NHSL2",76.0391763602032,86.828695254601,77.59603336531,69.9482471554646,48.6205733131004,53.9094019557613
