"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"208369_s_at",-0.50998957728849,5.77788597790776,-4.29198603817045,0.000258776067223317,0.649763648233669,-2.29065594624019
"202862_at",-0.712850413046994,5.19968042478962,-4.23279346786997,0.000300447617794774,0.649763648233669,-2.3354388046077
"208789_at",-0.717523821884006,7.91326529991575,-4.17369604019359,0.000348707486029304,0.649763648233669,-2.38044062659634
"202650_s_at",-0.64899793734313,7.41816819616261,-4.10560577258797,0.000413926990696649,0.649763648233669,-2.43263730518804
"210045_at",-1.03605801185482,5.91006849593375,-4.09291628357452,0.000427356808154939,0.649763648233669,-2.44240462203933
"210778_s_at",-0.717505767433655,5.97793476430661,-3.99277057014384,0.000549662940841839,0.649763648233669,-2.51990804967896
"200669_s_at",0.524810469828738,6.17383093348262,3.97209047204847,0.000578942737323053,0.649763648233669,-2.5360019919739
"217492_s_at",0.652471160171508,5.43821192822579,3.97171921619461,0.000579482238447995,0.649763648233669,-2.53629118586324
"212566_at",-0.607317770295621,11.7260133048475,-3.97150465356963,0.000579794263081204,0.649763648233669,-2.53645832613122
"203442_x_at",-0.734453193453483,7.1311495977875,-3.96816964145664,0.000584665583063125,0.649763648233669,-2.53905664425523
"203238_s_at",-0.836065283196011,7.79447401425021,-3.85703295620292,0.000772315937686534,0.649763648233669,-2.62606416363815
"212620_at",-0.721170532581394,6.15673389589502,-3.82410267893946,0.000838556655957728,0.649763648233669,-2.65199383397474
"209241_x_at",-0.596224656800149,7.8015056976559,-3.8154043570508,0.000856969472443549,0.649763648233669,-2.65885371491648
"203054_s_at",-0.881163354813495,7.09395513686061,-3.79175141508597,0.000909077351889622,0.649763648233669,-2.67752952709865
"212090_at",-0.757904369801249,6.96156347521592,-3.75711969264979,0.000991046530390315,0.649763648233669,-2.70493043441345
"213092_x_at",0.974511395114797,5.96985511811338,3.73664826798145,0.00104287645394569,0.649763648233669,-2.72115805068385
"209183_s_at",-0.982332810668593,7.84368339447031,-3.71174361952526,0.00110953452030664,0.649763648233669,-2.74092920565647
"212169_at",-0.613103105724732,7.02899044803153,-3.71053436708745,0.00111287560365288,0.649763648233669,-2.74189000033089
"221779_at",-0.746574403525924,6.91879763895035,-3.69603498103798,0.00115371458574774,0.649763648233669,-2.75341593598002
"218995_s_at",-1.36271177799515,6.70253828672719,-3.69191910204231,0.00116557327130604,0.649763648233669,-2.75668963460496
"207490_at",0.499828115281419,5.76304925296062,3.68582298626366,0.00118335771792497,0.649763648233669,-2.76153988614533
"204738_s_at",-0.476144777170633,5.03374932606876,-3.68312322138505,0.00119131874453423,0.649763648233669,-2.76368847028327
"219145_at",0.571044154777067,6.29888238973259,3.67409114532467,0.0012183365695493,0.649763648233669,-2.77087908923674
"213496_at",0.68496567202899,4.44484945676193,3.67404412815248,0.00121847877500578,0.649763648233669,-2.77091653064668
"200649_at",-0.830409974552727,7.38800152952175,-3.66190617552897,0.001255740877155,0.649763648233669,-2.78058585570042
"202796_at",-0.661436381048868,7.00829225520526,-3.64025852435878,0.00132499184473868,0.649763648233669,-2.79784751018236
