,GSM503950_C_1074p_SNc.CEL,GSM503951_C_1271p_SNc.CEL,GSM503952_C_2829_SNc.CEL,GSM503953_C_3132p_SNc.CEL,GSM503954_C_3397_SNc.CEL,GSM503955_C_3543_SNc.CEL,GSM503956_C_3603_SNc.CEL,GSM503957_C_5220_SNc.CEL,GSM503958_PD_1364_SNc.CEL,GSM503959_PD_1401_SNc.CEL,GSM503960_PD_1647_SNc.CEL,GSM503961_PD_2515p_SNc.CEL,GSM503962_PD_2525_SNc.CEL,GSM503963_PD_3769p_SNc.CEL,GSM503964_PD_3790p_SNc.CEL,GSM503965_PD_3803p_SNc.CEL,GSM503966_PD_5138_SNc.CEL,GSM503967_PD_5476_SNc.CEL
RFC4,17.6846406237687,23.6391212069486,17.3084968399455,25.4116061638001,10.8692336424938,12.1359713609625,11.4554838115671,16.9391047871553,5.96887504349769,4.91279253291567,4.6145074806874,7.95884040140712,3.5542115116017,4.78762089631361,4.46653128453471,5.76995250165883,9.77379786870335,7.63288811234574
ANXA3,16.438621766062,20.0948293316043,9.51097516267223,15.6074116638081,5.14721548812949,7.92586028465665,16.2086767712419,18.244942646103,3.6244733792904,8.14152251817094,4.69956887432475,4.05049743311996,3.33101089120497,3.26564266109557,3.91351586007186,3.41053110559486,4.65555055911778,5.81131624842992
SEC22A,15.8422293425173,15.8239485031625,5.5964225588678,10.7161256253191,6.24373732757426,4.78461038375113,7.70497085092939,9.48324691741001,3.3446154245803,3.51225048318033,2.87884995088012,2.8751571140361,3.31688079648025,2.46595566938187,3.25819047958619,4.04146890271777,4.39211556609539,5.38005938378834
DESI2,13.1208592785014,10.20970302929,18.2849347655173,14.504571628457,22.0669184389751,8.32402400332673,7.25140585765741,19.5580884133787,4.66869843492207,4.4507130851026,6.39388234690456,4.27789047103432,7.84461417288512,3.79872375416691,2.83826757346273,4.58602783231833,6.64071309470612,8.31303888994902
C6orf120,39.4787233826989,19.4462851975434,4.93354377136192,29.3766525842838,7.37508991288963,9.01121002468126,19.6536573258104,28.8264817748432,4.44343069122163,4.25196781900047,4.86255971628138,5.008332317535,5.26484238489388,2.72248637357582,3.05495616246572,3.28871971385122,5.03578044977866,8.13195753771373
SLC11A2,37.690175935866,33.8453247387337,6.19826108670562,38.8979698927142,18.4754872501578,33.4565938335813,27.8325822392776,64.3589156365823,5.01035690112337,7.25387704307262,8.89513079263645,15.95771515906,3.81755868691669,4.47020990297143,3.79221097822665,5.35421984137227,8.12303559537246,15.65955152261
EIF1AX,75.618649774895,89.2578975561514,99.280641491301,81.8769478166945,50.0223932404575,119.293526282826,104.063001507815,136.389550381976,27.3556901088687,15.137640662914,43.4844258699199,23.005362345505,9.43546215973754,4.76074238784823,5.3365607197046,20.9008047293337,37.9043315921381,69.6999280927642
GPR22,15.9647851809524,16.6334217665461,18.6561011982409,17.7814466878889,15.1545347946633,6.23987559799668,18.1724325217848,5.04786556629742,4.99239069979597,6.51275959507248,4.89280297425493,3.05441204002611,5.8646685916755,3.40830298319483,3.21062344134654,3.09834611832221,6.8700168898992,6.94642432092948
GGCX,48.8156934314557,69.5006804774241,15.4063466540005,49.1774659554747,9.29335748897325,22.2761267406477,16.3199589470152,39.5424366119405,7.70004020154706,3.96769449535471,10.5137643996903,14.0863249067852,4.08066446639371,10.3208230384847,5.55589068521449,12.3551939116547,5.2669002886018,8.07503806580586
MIEF1,16.4259158139547,18.2885298595299,9.52276065014555,12.3507455240439,8.99442376360077,11.4506601590594,7.08163528969004,26.1162342626323,7.07660430439031,6.69377365093551,7.06928543505781,4.21044606796579,5.77865207304118,4.70689765841158,6.66961593095172,6.21322815122225,5.20598719881515,5.4473510474042
PRDM14,4.88894273405777,4.17740024452644,5.63666272863554,4.9117306660142,5.53570044051418,7.24042812798449,5.03123540977176,3.70725773383736,10.0873035938871,6.18746956517676,11.4767150260464,7.57727631644674,14.7193436116703,10.6602285951693,11.3599524837489,8.50252308740973,7.56343823522523,11.0614527700688
BPGM,19.0596155318431,21.2523121573639,14.9207376229012,29.654064461268,10.0805574671124,14.549947713929,16.1456396861703,34.807467594287,5.20968466284797,15.9418066338975,11.0161874623313,7.02254747395759,7.22036111124614,7.4817442284609,5.3614586634724,7.48196365825105,6.50638662851962,9.58520816777782
NOC3L,15.4259662619732,17.7645641885835,12.8004077384645,18.3752961149166,26.5937815369495,17.838558601557,11.9588130125306,43.0065095112827,12.0037595087983,11.9153970411255,11.6506160879862,6.09213212672038,8.49517573268454,8.00842741953616,5.77724779285577,4.79034600022734,8.91080728665118,7.81729066317626
SYNCRIP,56.6558208535777,64.5302224579757,12.2278333591097,48.2171326762052,24.618184425957,17.7814466878889,18.0634940389113,47.994910453983,8.72712485000436,16.4486210774163,7.55878791201738,10.718461738914,11.266819313082,8.62669881533365,12.9300190252433,9.5393988066959,13.175162593798,17.2613161196328
NSFL1C,25.916315691496,27.7045398450988,9.15401216177963,26.3495909746755,17.5058467343814,17.8213293078852,7.71952939731873,53.5521674503696,6.9385737626912,4.34057203433609,10.0135994122464,11.1012068840261,4.25541618820727,6.76697947102354,5.93965221919509,5.54413332978045,7.83617749564205,10.1570609636577
GCA,75.8131953985343,54.3460686313761,40.9703190009954,54.4819554888604,52.9347948553702,83.4999093292131,147.665307624424,180.552285308575,21.7490688251682,13.5860779795432,23.7484172011388,11.4797335199117,14.8530045600963,4.4642475548621,6.17516764737014,10.911233663966,39.4085117279216,98.3568522738993
TMEM144,58.3907996310778,33.5002643897196,8.97094283791701,25.8376670972581,11.1455870655226,39.733401132082,42.3341983510145,67.1116229835349,5.0797074673591,8.86744006456769,9.59365296471223,28.1461198409291,4.15089485921877,4.61089929130777,6.24973308035566,7.73162298930483,8.49755644803857,10.7956191383085
ACTR2,159.271128234948,152.078694422007,44.5675892342524,112.474978705655,59.7130855385815,35.1928683116937,47.1680685965824,93.9981855274922,36.2157429918061,45.5595989564756,26.8111709224339,24.1727912138657,10.7590335747888,11.8179589044688,10.6391621903022,55.1229434441476,19.8785072058989,22.2075098056933
PSMD10,175.943669075622,158.818068452172,47.5160583883409,141.112750216651,27.6636099405246,74.3450292863554,43.3271349729275,101.08428595731,30.7737817885195,20.0865498836835,16.3011901583106,29.7981798558738,20.6375661654109,6.12030392054344,12.0380307931108,36.5007262411172,36.5502515229884,41.0411108332619
RFC3,13.5656182186425,17.5217373174824,10.9487725385798,19.0346193962691,16.3556175820527,11.3567475526903,13.8318480165561,36.3824096584727,4.87329923728895,24.3393783731333,5.23302396340006,3.90978596991716,4.24854001438543,5.56425706507118,6.12869488448367,5.08533733843969,5.83405832868767,6.92960074854707
ATRX,36.6813608559388,38.5090955697851,8.96163594785878,25.6967121386885,14.5412960597561,36.7792194972975,22.6581972250205,49.5353038518561,7.22551478768582,7.42307987943553,6.77720090808587,5.54087560109034,6.37569573509131,7.29644483517709,5.35809005446694,16.0518803353407,19.8332382138656,16.1129154940325
DPP8,87.0051534647129,56.2407785977148,18.0883009165126,60.7193232868881,32.4908769506821,37.9205509283089,43.5067143288404,67.2711782123416,11.0474144516789,16.6089419861364,37.5712698000087,20.9102012730851,8.40014524594059,7.30980382111674,4.64079474918343,16.1459958959034,16.589596255847,28.4776018578196
KCTD7 ,72.8164774610118,46.5867135816039,36.7693375837999,31.8711683733827,15.0393049565539,24.5328513648597,10.1867454677535,40.2080908798201,12.3838982770311,8.02640788034747,9.36174455208474,11.3211426456767,9.52621990352172,5.70487794906547,6.58244062640454,21.4182846635089,10.7327053321869,16.7000064308009
ZBP1,9.23578683547368,6.96627713270333,7.49676502313032,9.15446824777333,3.36870076258355,6.97152402693299,10.5239671757216,5.72809757811706,24.2407353312203,9.80514805890076,14.587176988577,19.8677712285535,21.779364518981,34.1828432203887,23.0667209782099,16.1095983594913,12.3594210020709,7.93764577535457
ZNF277,15.689886543293,15.4288355033079,12.6540108458823,9.5932499462767,4.60221723548104,8.86846589048616,4.19116080872315,10.3309095765155,2.20700210490177,7.31083252684408,4.44521837062667,5.00812483204673,3.8730544014641,3.9906741029752,2.94006745340703,3.8730544014641,3.66124590137944,3.25603452180218
SPTAN1,21.2189927424033,14.9218758996028,16.3147693516011,25.8422347511989,18.6024150274645,20.3418852858924,34.4727073848221,26.4018979091772,39.5021340725536,19.7417559539366,67.0512350535454,46.7646410765317,40.4059747008155,43.7234414643934,77.7330195374874,79.9135618527759,61.3202877632282,35.9296345561743
SMAP1,121.149477841585,116.655359108532,48.449340285002,144.517755086087,70.034674287364,30.7013062143444,26.3271530728684,96.85473784456,34.0273434977282,14.4415613034087,13.6896344586983,12.1623885253715,23.699338890068,3.98002868217093,6.35712671789609,30.7013062143444,28.1951448354849,44.4966143538411
KRBOX4,4.52943713772695,9.90100697558314,13.6172942320316,22.9768683218457,13.9431447095497,9.33709454861039,3.81124190663215,14.2413496610479,5.60669535433139,5.14289348373508,3.11059609851906,3.8276885065933,3.31722054696952,2.98104249989009,3.04633004082972,2.45246448764181,5.1108107003639,5.62070760813385
LOC101927057 ,95.0425842842215,62.7342738069531,14.7772410188366,110.890202067464,26.8392572282885,105.355883503423,28.9338394190993,242.170008133902,7.30515263842348,6.01739075956356,17.7703379142316,22.167390407307,5.4880605352603,15.5541012980338,7.50401957923007,11.5560503249684,32.4446910009658,33.7052700837032
PSMD1,73.5091637504145,118.037361056311,14.0103603606325,86.9075839813012,9.83786766339062,18.8260570276175,10.9750064434871,32.506087244737,6.68472337629987,8.96293144125637,9.00091684384807,11.8843593062773,5.82775064814271,4.8231839595732,7.79822303612518,14.3847498318211,7.15263809269831,6.4774943702129
