"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"201685_s_at",-0.41625614305043,6.21436814348806,-5.97541500272009,8.42934761569498e-07,0.0187831152920531,1.67070127216779
"204685_s_at",-0.775448814065149,9.62835593927951,-4.36506160609829,0.000107888533420733,0.921773085295901,-0.644692637746491
"202887_s_at",1.15110728422767,8.34663105850357,4.18230633224474,0.00018458382544914,0.921773085295901,-0.917253076805228
"214889_at",-0.605108030967782,6.95406284060084,-4.02859398473151,0.000288700033957114,0.921773085295901,-1.14641793493354
"212796_s_at",0.290888460482716,8.25671349937871,3.99625418308508,0.000317007430822128,0.921773085295901,-1.19457661736491
"218709_s_at",-0.291145844974566,7.5455264810304,-3.99616084052222,0.000317092931478163,0.921773085295901,-1.19471557776288
"219800_s_at",-0.201431562978499,4.97511053571612,-3.98128915083281,0.000331006559172078,0.921773085295901,-1.21685207649465
"215887_at",0.31001096810609,7.62513809898233,3.96894081946568,0.000343010470382456,0.921773085295901,-1.23522752441509
"214841_at",-0.362897413154587,5.10513645864496,-3.93637801284664,0.000376737325367798,0.921773085295901,-1.28366008722994
"221531_at",-0.402020598191459,5.78025914599315,-3.8747605366017,0.000449620069265316,0.921773085295901,-1.37519847169464
"201219_at",0.427977884069852,5.92126713968413,3.86417727554572,0.000463448724547511,0.921773085295901,-1.39090467998238
"219760_at",-0.614226383661192,8.09680023531286,-3.82583028904099,0.000517105624876227,0.921773085295901,-1.4477693193875
"218830_at",-0.393138594387748,7.79501386142373,-3.78056824029618,0.000588230682807177,0.921773085295901,-1.51478972888569
"200931_s_at",0.534509543102447,8.76528443787272,3.76819602722142,0.00060927029888607,0.921773085295901,-1.53308928388893
"204616_at",-0.557821384896594,7.14813437448444,-3.76176127607698,0.000620499765715501,0.921773085295901,-1.54260320594589
"201910_at",0.517636795910854,9.10383554543608,3.73895814272605,0.000661933428172564,0.921866411248078,-1.57629750574149
"201904_s_at",0.662384765315615,8.41950459806548,3.67108050523387,0.000801765712332653,0.966311579960789,-1.67638924169591
"201726_at",0.595655667083886,8.72316091392664,3.65286013417713,0.0008439240488452,0.966311579960789,-1.7032001736504
"205646_s_at",0.582605021816812,9.16465281051766,3.629430098676,0.000901296438893644,0.966311579960789,-1.73763905555727
"214930_at",-0.515459635706572,7.48099102130235,-3.61432456166843,0.000940264384172864,0.966311579960789,-1.75981858311004
"221452_s_at",-0.803267354845836,7.25784221203576,-3.57795880491347,0.00104086766409273,0.966311579960789,-1.81313535842877
"211986_at",0.619733307677979,9.34000696808143,3.55168743845709,0.00111992696727256,0.966311579960789,-1.85157947309457
"208558_at",0.225426783407076,6.33149471522035,3.54693316092407,0.00113483982197036,0.966311579960789,-1.8585298209179
"210414_at",-0.368753418255192,7.85296910356293,-3.53695174202925,0.00116677405401004,0.966311579960789,-1.87311485374766
"209731_at",-0.323961817135427,6.29168463681811,-3.52042617821147,0.0012215577990669,0.966311579960789,-1.89724124799361
"204588_s_at",0.213698897713597,7.57426586806638,3.51252604332284,0.00124861480541877,0.966311579960789,-1.90876554348009
"203856_at",-0.602501991606959,6.47324228872554,-3.50502588143009,0.00127483529581436,0.966311579960789,-1.91970061924507
"213309_at",-0.891552949786338,7.62212339723571,-3.50081798319438,0.00128977734576135,0.966311579960789,-1.9258331617973
"214812_s_at",0.493522699032118,8.42010600777948,3.48692582356196,0.00134031395413475,0.966311579960789,-1.94606658723132
"208934_s_at",-0.471320793474816,6.37620594412362,-3.45899267337505,0.00144775519551123,0.966311579960789,-1.98668904041761
"209472_at",-0.456729328236267,7.32493370858103,-3.4581370677783,0.00145117347971069,0.966311579960789,-1.98793200703706
"205625_s_at",-1.66668780462138,7.81635831387271,-3.42015662803123,0.00161097335158647,0.966311579960789,-2.043025792292
"218205_s_at",0.941256184650417,9.27669286336377,3.41665021943826,0.00162654992934604,0.966311579960789,-2.04810390526279
"218897_at",-0.187954203054942,6.0036426823175,-3.40195963640911,0.00169339561383615,0.966311579960789,-2.06936382930733
"201323_at",-0.517548109616652,6.36032871856753,-3.39864640247028,0.00170883176147509,0.966311579960789,-2.07415517495766
"201391_at",-0.328836123252631,8.83289011160245,-3.39396676903831,0.00173086396589274,0.966311579960789,-2.08092028364501
"205626_s_at",-2.02483898320341,8.48158139831297,-3.38419393146076,0.00177775720656763,0.966311579960789,-2.09503992768145
"221801_x_at",-0.603861102893678,6.41349416314557,-3.38153945946991,0.00179070307394577,0.966311579960789,-2.09887307780411
"204970_s_at",0.379490848933096,8.24956698883575,3.38053775192988,0.00179561184920043,0.966311579960789,-2.10031935612246
"214710_s_at",-0.16304930779473,5.44053475587879,-3.37048153133428,0.00184561136528857,0.966311579960789,-2.11483186489755
"203548_s_at",-1.27492405516238,8.19566314200084,-3.36558785845083,0.00187042260918157,0.966311579960789,-2.12188960559837
"205889_s_at",0.110006025446936,5.326344255872,3.35960761753833,0.00190117678324468,0.966311579960789,-2.13051037351046
"213357_at",-0.682080891302304,8.05566287836514,-3.34977952749263,0.00195277360306248,0.966311579960789,-2.1446682329809
"212993_at",0.655028333330058,10.219080304779,3.34111685117251,0.00199936134272612,0.966311579960789,-2.15713709743044
"219713_at",-0.151531963557873,6.39463119741232,-3.31444701013372,0.00214956294466079,0.966311579960789,-2.1954641028482
"218176_at",-0.228626848279677,7.08170739877267,-3.31384689924691,0.00215306379125422,0.966311579960789,-2.19632544140335
"201841_s_at",1.33038941354133,9.69433719349227,3.31353447608268,0.00215488852077882,0.966311579960789,-2.19677384309076
"203068_at",0.528562387515747,7.36951682511152,3.30717073528483,0.00219237975254146,0.966311579960789,-2.2059044920728
"203438_at",0.216550660051026,6.26660250409621,3.29938646851767,0.00223908795720537,0.966311579960789,-2.21706590521815
"219338_s_at",-0.747869390012583,7.8238227223319,-3.29505923802617,0.00226546246712442,0.966311579960789,-2.22326692489457
"32094_at",0.296082264660592,7.88365450705506,3.29402222508294,0.00227182701902535,0.966311579960789,-2.22475260934853
"205872_x_at",-0.534847971322359,8.52384035399457,-3.28253693490038,0.00234346857016149,0.966311579960789,-2.24119723681877
"202993_at",-0.322655653759414,6.34859602509549,-3.27132792344633,0.00241546355622549,0.966311579960789,-2.2572286726738
"218335_x_at",0.317591106882036,8.66655849868808,3.26427924286257,0.00246181302331466,0.966311579960789,-2.26730086559229
"203336_s_at",-1.08691860154707,8.35070231844496,-3.26145609537108,0.00248061399445551,0.966311579960789,-2.27133302322356
"212638_s_at",-0.730258573658658,7.89085874696129,-3.2613580658866,0.00248126928437178,0.966311579960789,-2.27147301339993
"202189_x_at",0.478830492954895,8.00794215222144,3.25842922091953,0.00250092385926315,0.966311579960789,-2.27565489452623
"209550_at",-0.59211678091004,9.33968536475684,-3.24309473224572,0.00260627693378759,0.966311579960789,-2.29752978726561
