,C_GSM208622.cel,C_GSM208623.cel,C_GSM208624.cel,P_GSM208625.cel,P_GSM208626.cel,P_GSM208627.cel,P_GSM208628.cel,P_GSM208629.cel
PIP4K2B,183.086450484668,183.585513995106,185.516056966458,117.844010278295,128.93895417501,123.085105929844,121.720890126725,112.775532478838
ICAM2,104.678748675119,67.8282024629912,95.7942844101262,221.237735476928,198.72857591502,265.935368652563,207.621777797527,184.458378106446
ARL4C,236.618987448629,226.932574458879,192.425372786723,113.146789543694,111.746669919035,103.542164768318,100.701832393243,143.684277800579
ATP2B2,84.9177671950248,91.9335406352755,87.1545021566334,62.1638012633797,45.7132736075573,50.9095493491078,51.035843011075,53.5003147935516
MAPRE3,111.558021770857,170.973551345025,156.049422361359,67.3997831983827,59.8119234248859,43.7497785423941,48.2254914868768,70.9778793889843
MAPK8IP1,40.5696078752323,43.9679361608998,40.5696078752323,24.6660504500586,27.4078276973499,30.1799901173246,24.2194759898829,27.8692062625658
KIF5B,189.73939844384,292.577757501403,221.936012709198,426.422967324329,415.445571581866,593.941056517144,560.397041246764,474.034277797527
SRM,182.888628495621,207.373522449173,214.745514703049,147.618098925842,141.48599616784,143.601214674937,135.676341502211,140.500293388144
SYT5,116.184095671879,208.385628469092,198.767849267031,81.9578751541119,81.4660344424858,69.836045992391,84.4783790233712,79.0881134859891
PPDPF,199.225132289142,210.708043109895,217.514880550123,152.926872283174,107.53431975122,114.86810592631,122.584082123981,140.512643502126
FAM115A ,34.0716357991517,40.7119096296951,35.2808161239191,61.373856599671,57.3463073730399,54.7767936270878,59.7791073907185,47.6847305748481
AHNAK,199.731600531266,133.609415234282,170.598883834203,285.835173413024,273.458887014176,248.363022119831,298.506467191705,286.084398861033
ARPC4 ,111.083808256414,85.2994398588187,107.712103279774,45.2120078993313,51.8033058824726,72.6090463118394,47.4264185130721,53.3971891655271
CADM1,226.102062200718,200.562037138999,257.478335779132,364.595756481653,399.076913627165,391.25907161341,408.478756604695,300.599457598992
FLT1,75.755017879266,74.2919183501261,69.6565505571909,139.005709768796,151.984337119394,147.47468869053,113.271148787632,100.082139062495
CLPTM1,337.847009205513,328.307515662642,365.459469355085,220.355514879773,206.101180741845,155.380294842842,131.343131997694,198.05800281734
CAMKK2,50.2886187704839,57.1319464023234,92.8543818052078,22.2266071610083,28.716521200432,27.2753025626991,18.0231768196435,33.2174598579744
ARHGEF4 ,125.639064411916,159.651722417353,156.594290398227,72.0601832692306,88.5419698536567,60.0687678742503,57.6884716516033,94.717145893955
MAFF,18.5177927555865,10.5536241255856,38.2955260003983,114.869102699912,143.582439590904,348.68152294221,138.394618699467,70.1502038008427
NPDC1,376.975175868668,391.410074609377,394.681203631841,284.041371681729,241.996777797528,168.339723875947,208.710004755697,209.534277797528
TYRO3,146.047628701835,149.043842141316,186.607906426244,89.0583170978848,118.806968982912,89.9929857429921,80.0215068346377,98.8577481238422
LPP,121.612587583387,116.549968442923,137.696777815978,157.542544059453,210.210343899705,188.009538185942,196.214217494249,187.946451540263
PLIN3,135.934326157325,113.838169453704,126.816087308254,168.171028284166,170.921777797528,164.464817421203,173.846149347046,167.334384360645
MBOAT7,74.3768946438293,89.2025184942215,88.3814865028776,53.6530003266807,62.1401513848379,52.8768007122565,49.0049538807125,61.7605303320028
ZER1,107.349361926519,118.970720076866,101.303032209735,78.1403404816202,68.0425749441438,80.8184191312842,73.6016720364053,83.9035559258987
VAMP2,378.567294044061,714.706137554743,515.69313382322,248.571777797528,149.203424093709,138.773698653546,171.038668852885,278.696777797528
HPCAL1,168.836192891666,209.81642020116,189.380114617985,53.3949079091932,85.8155827071959,29.7482308238244,54.8826608850196,89.7194128033835
PAK1,53.2058832599302,44.8684149907854,57.9684228980674,19.3363795182469,26.604944787472,16.9325909692227,18.1682492553855,34.9525316015446
TRIM3,30.5866865589265,28.6667835873888,28.759585833957,22.6348220479523,24.0383493090997,21.4839036682988,22.0762420452284,22.4299606474351
KIAA1549L,62.4555880393986,49.1984045683675,57.259662871901,33.8490616429828,33.9931563380318,24.6774103398497,37.516775355294,37.1419392819082
SLCO4A1,139.284925205765,83.0712522535766,131.20142751589,343.173943067603,365.3356789215,217.534277797527,274.496073427944,198.354009786945
HSD17B7,120.971779490419,106.097877483692,100.220723405442,170.882334558246,149.547587506773,143.411132203201,158.949093192688,143.664633599602
GABBR1,1112.15390045319,1445.22642798172,1523.33131506545,919.096309542498,797.528710078996,719.293012874269,835.646777797528,961.560135521909
ACHE,88.0427966767798,97.4246730393887,79.496608342374,58.7429460142694,70.7637118831955,60.3500210940159,54.5008143977418,59.1097470828195
ABR,238.222191258061,210.587458666063,290.701076958598,130.249720581729,151.890073218244,109.686733440828,106.022012462456,169.904545933852
PAPSS2,17.1631861892124,20.5440137385302,16.329426982208,29.0281500282682,30.2831600028662,33.5391693729905,26.8152505991495,23.2865610184294
SCN2B,148.116198022566,130.644152113636,113.580808936915,60.4666198357576,68.1564358057304,59.0100399835499,53.3511813946893,98.9131213544636
GPR137,52.9198875426493,63.9277682108848,57.582255974231,45.3275814550482,38.597464520006,37.7070121838322,40.2336001487014,44.016333656785
KCTD13,156.727811331444,197.399681179907,183.353729544313,138.295651022962,92.0175509938283,94.9693513273117,113.279697339389,107.071438027123
YWHAE,308.242185410706,432.536385689479,338.108924819471,140.77177780522,140.00927780714,218.644831939721,197.12472245386,222.581194320549
PTPRR,83.5319994746271,108.695333115348,97.3067911443577,66.5711035942084,61.9195963988555,45.8210370591262,58.3992804356481,64.5113481089997
PLEC,58.6912708145043,45.8038527222619,53.4921497451951,40.78093035318,33.6023667659226,29.1679715976134,27.4118314737436,31.1933655274669
CFH ,38.376219657607,34.3365064249394,30.6554760282069,57.5291754230969,50.8038677727973,53.5440986877432,47.2990916857029,44.4748658126314
GRIN1,215.738621383473,302.84751236278,261.979006849832,163.846741538467,153.382744978072,121.409279325304,99.0933928937221,156.375815315367
ATP6V0C,887.525460106488,1030.76475789583,1038.7561724785,584.708142229741,637.738988939459,483.926375258311,460.968801480295,735.488771754461
CALM1 ,183.159277797528,205.121777797527,165.923321027605,115.49205418478,121.90075225467,121.724550855251,143.250373841048,138.057191315942
SLC30A1,251.642586632027,190.434277797528,243.167476476669,360.094832772373,380.382707269497,328.976464472181,418.251461225359,306.039839754569
PECAM1,81.9169492824842,86.8362761341742,93.9964683610581,157.434277797569,133.258667432798,199.295683341831,140.138625385633,120.787075468625
MGST2,108.110673498119,100.359934895736,102.952812352628,154.176820252017,125.063798423374,140.803136949407,142.137121269363,136.709277822136
DOC2A,94.2131974035936,119.297651182327,117.910742561484,70.9637204470901,75.7113620346059,63.9459636066821,54.2986433906783,78.881681150226
GRIK5,81.1795289950912,81.032299604986,102.701391500433,55.1784984241063,60.6915671875781,46.5601722802345,42.4295276827875,61.8352656229452
TOM1L2,208.309182791008,227.803253681102,224.595471400242,170.073496537893,177.232253291056,170.462576619734,175.87935186466,169.195917853278
DGKB,27.3868391058762,35.4869549241457,30.5876683212365,19.3480662982135,19.8515072943248,22.2229815488154,18.518757761453,24.0340579745151
TUBB6,86.8812498607491,102.437780361671,93.8100156324054,180.750136371228,177.797900134848,162.129154971641,132.908779545089,123.06085037006
ERBB2IP,192.050194840046,115.706889219784,149.305908281956,300.597429406947,224.978027797528,436.40447559625,354.964834119082,300.788675605414
ROGDI,447.377363698154,494.193890424824,469.150238247521,275.99532806864,364.83183807638,308.93992907931,235.431285007449,319.679557123465
MAPT,224.077302970736,213.282633983116,215.703663317885,164.375584050579,159.79713233515,139.564438231847,155.496391039673,179.603872411357
NTRK3,59.2275176787692,48.1762539108548,51.2344457040143,37.8550609099376,33.7369750832709,40.7797500509759,29.3217629310305,34.6098592154464
RREB1,15.3229627274526,14.7788764525246,16.896874188865,21.1762115735025,21.6135054510698,20.2786955909073,20.2469868888465,19.2444958226004
PPL,140.425137936082,130.328617911365,134.384277844726,85.5727169168016,106.211818065202,60.4455027438683,76.2443151660308,72.2115281404344
SH3GLB2,170.176448202086,208.525897571291,252.052470898021,105.715482716106,95.0308374236564,52.7874282212556,45.4470322358474,102.253498669383
PDK2,164.130793458796,148.208692943955,189.434277797527,107.184323921388,128.581865702843,108.004983491143,86.2746475437218,108.090263277509
