"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AFFX-r2-Ec-bioC-5_at",0.860090795707599,8.0602338572081,8.26585537670042,2.04649354840758e-05,0.23908436532584,2.11199655843655
"201081_s_at",-0.608123030899926,7.14395306697491,-7.99446443247656,2.65576276031873e-05,0.23908436532584,1.9612871347927
"213620_s_at",1.28229937116829,7.25993904131472,7.71505820904176,3.49865195901707e-05,0.23908436532584,1.79743415986706
"AFFX-r2-Ec-bioB-M_at",0.959867954592667,6.07211905172548,7.51285446630365,4.29178055604434e-05,0.23908436532584,1.67305519491693
"202206_at",-0.9387152633578,7.18020201725641,-7.08940582914365,6.67535917349859e-05,0.259954572062567,1.39578323500076
"211586_s_at",-0.747207839147886,5.99166750672774,-7.04501132339213,6.99962945911861e-05,0.259954572062567,1.36533564298095
"AFFX-BioC-5_at",0.83191189695226,8.00950914560358,6.81046440702692,9.02625886876728e-05,0.275345257792251,1.19992548998486
"203841_x_at",-1.33452793655451,6.33429970916058,-6.6907713032829,0.000103019476130926,0.275345257792251,1.11248934478918
"213014_at",-0.637974187540412,4.98227773803942,-6.6221837941314,0.000111210668228257,0.275345257792251,1.06143971406047
"AFFX-BioC-3_at",0.850056928707481,7.63941563456207,6.48729429308595,0.000129480274303766,0.288520895231081,0.95898951695319
"AFFX-r2-Ec-bioC-3_at",0.846205577643233,8.03462728655978,6.36950644526145,0.000148138660910307,0.300088525551306,0.867259058212611
"201991_s_at",1.08207996815143,8.52781722380037,6.27069960701677,0.000166067399697688,0.302355294953062,0.788644360518494
"AFFX-r2-Ec-bioB-5_at",0.868401978160925,6.36713418356699,6.19999536233486,0.00018034898921496,0.302355294953062,0.731440378641582
"201516_at",-0.505540528262608,7.33650171820029,-6.13011125767696,0.000195792921310776,0.302355294953062,0.674111469157936
"AFFX-BioB-M_at",0.748026876935028,6.88070049243065,6.09731680986327,0.00020353316089826,0.302355294953062,0.646935928549253
"AFFX-r2-Ec-bioD-3_at",0.87999260866691,10.9298460346157,6.04165727747499,0.000217445554390812,0.302833705530654,0.600410519455255
"206161_s_at",-1.09209312510394,6.71688225219408,-5.91666680600795,0.000252621128860925,0.314400493384167,0.494065007932751
"AFFX-r2-P1-cre-5_at",0.610513139339377,11.7982125045655,5.91225942091932,0.000253969792259346,0.314400493384167,0.49026746401692
"AFFX-CreX-5_at",0.764822820459826,10.7182912557459,5.84184012466405,0.000276617233164813,0.315993121482683,0.42914750396073
"AFFX-BioDn-5_at",0.749502298634682,8.43735886468829,5.80021793425819,0.000291031546149014,0.315993121482683,0.392626156385861
"218010_x_at",-0.723168582029611,7.25546220671443,-5.78144448216471,0.00029779901948285,0.315993121482683,0.376056593359557
"204403_x_at",0.61384299435616,5.57654864695005,5.65225564392041,0.000349284481919042,0.338532391951572,0.260386624423773
"211986_at",0.745734665486078,7.83883785243585,5.6480217215825,0.000351128102999733,0.338532391951572,0.256546733758274
"211672_s_at",-0.917269619344477,6.08037503959044,-5.5582520130544,0.0003928171233985,0.338532391951572,0.174391718219982
"209030_s_at",0.708013865515457,8.26818944058613,5.5368738955182,0.000403519492631968,0.338532391951572,0.154617643715481
"222033_s_at",0.814425999617675,6.70254626606851,5.52442827266236,0.000409895693155304,0.338532391951572,0.143068555854705
"211136_s_at",-0.940725807725705,7.83627898522779,-5.49255393025513,0.000426730462211766,0.338532391951572,0.11336485300045
"210787_s_at",-1.34578806538455,5.1673104216111,-5.49151094806863,0.000427293867008963,0.338532391951572,0.112389842890638
"211891_s_at",-1.0015255366248,6.56831767401286,-5.41090223674396,0.000473381189132934,0.338532391951572,0.0364461322716956
"36711_at",2.85020334087892,6.07124735193915,5.36490005469977,0.000502080695126344,0.338532391951572,-0.00741703727972709
"218086_at",-0.822382621323391,8.0844797941155,-5.32403700637756,0.000529161430268024,0.338532391951572,-0.0467009273272669
