"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"208352_x_at",-1.1152908373661,7.11324025395689,-10.0412683219752,2.06924017750337e-12,3.66528313854787e-08,18.0207963545543
"209560_s_at",-1.96186646055661,5.98402766184633,-9.87885237755433,3.28975733837263e-12,3.66528313854787e-08,17.5841530647765
"207087_x_at",-0.85774442312665,6.91562441748852,-9.48969299238015,1.01298859318784e-11,5.88751371458688e-08,16.5224853777384
"214156_at",-1.00099958806162,5.73840482711977,-9.47515147939744,1.05686195118914e-11,5.88751371458688e-08,16.4823962353735
"213920_at",-0.963958587021648,4.48369150623206,-9.30368535674991,1.74588844034059e-11,6.59673767634648e-08,16.0074394689094
"205390_s_at",-0.946829298296543,6.7509218289241,-9.28806438178485,1.82791630763978e-11,6.59673767634648e-08,15.9639649786439
"205391_x_at",-0.870892730081025,7.14467758709072,-9.2364489895845,2.12782662636277e-11,6.59673767634648e-08,15.8200733221522
"203476_at",-1.81381324602895,7.14421368321473,-9.20013279237666,2.3683481313455e-11,6.59673767634648e-08,15.7186105224559
"205857_at",-2.71300571336026,7.15876950442831,-9.04079785136372,3.79611269324833e-11,9.39875323818361e-08,15.2713006692609
"203253_s_at",-0.802784574015923,5.49390502944935,-8.89697202741204,5.82703637667088e-11,1.19719860580296e-07,14.8645591927406
"208353_x_at",-0.892605977127577,7.02555830612805,-8.87276138051915,6.26444940713556e-11,1.19719860580296e-07,14.7958171996766
"217824_at",-0.665608611143467,4.99806296454671,-8.86036631940961,6.50112533362352e-11,1.19719860580296e-07,14.7605932075431
"214306_at",-0.836787192444767,6.22505952728382,-8.83641245025453,6.98450921125455e-11,1.19719860580296e-07,14.6924636010847
"221509_at",-1.05794120922527,7.78953276332425,-8.81160452314058,7.52359182015763e-11,1.19748711806123e-07,14.6218244178243
"205357_s_at",-2.01220061809162,5.56423507704329,-8.62203569491692,1.3310939061387e-10,1.97738436736591e-07,14.0793632591868
"211421_s_at",-1.80639748453165,6.22298925812584,-8.54691240706257,1.67073149073884e-10,2.32680686300835e-07,13.8631035172885
"204622_x_at",-1.223225652972,5.67970100578321,-8.39985896288833,2.61168278944678e-10,3.30255010505771e-07,13.4377018521369
