"SrNo","V1","V2"
9,"P49763","Q7LBX6"
35,"P05019","P08069"
236,"P15923","Q06455"
274,"P58340","Q9UNS2"
294,"P49763","X5D2Q8"
416,"B3KUN1","P30154"
459,"A0A024QZA8","P52798"
521,"P49023","P52272"
523,"O75381","P50542"
579,"P52798","Q6UWM0"
595,"P18206","P98179"
666,"P18206","Q8WVM8"
686,"Q07817","Q9NQC3"
696,"Q06265","Q9NPD3"
770,"O60880","Q9UIB8"
780,"Q06265","Q9Y3B2"
826,"P08069","P29353"
827,"A0A024R328","P08069"
842,"P18206","Q14011"
979,"P11142","P25685"
1045,"P13473","P37840"
1112,"Q8WVM8","Q9H0D6"
1116,"P08311","P55210"
1168,"A0A024RCM3","Q06265"
1200,"P46531","Q14527"
1228,"Q9NQC3","Q9UBY8"
1284,"A0A024R2U5","Q9Y3Q3"
1445,"P0CG48","Q9Y3Q3"
1446,"P43351","P46783"
1475,"P23258","P46783"
1714,"O43463","P17542"
1752,"P78406","Q7Z2W4"
1838,"Q9C035","Q9UK80"
1863,"P0CG48","Q9UIB8"
1875,"Q9BYJ4","Q9C035"
1910,"Q7Z7H8","Q9P015"
1980,"B7Z240","P05166"
1986,"P21283","P36543"
1995,"O15260","Q5SSJ5"
2005,"A0A024R475","Q00005"
2058,"P23258","P55084"
2094,"P40692","Q00005"
2114,"A0A024R6P3","Q00005"
2115,"P48643","Q00005"
2116,"Q00005","Q59H77"
2117,"B2RTY4","Q00005"
2269,"O00268","P0CG48"
2341,"O00159","Q9P2S5"
2379,"P23258","Q92930"
2403,"P62837","Q9C035"
2597,"O95379","Q8NBZ0"
2614,"O60260","Q9BT88"
2619,"A4D1B1","P98155"
2812,"P00403","P25786"
2914,"P32121","P46821"
2916,"O00159","P32121"
2918,"P32121","Q14204"
2941,"O43172","P32121"
2977,"O15165","P0CG48"
2985,"P0CG48","Q14765"
3116,"O00159","P34947"
3401,"P61956","Q14527"
3621,"O15123","P0CG48"
3680,"P0CG48","Q16635"
3716,"A0A024R539","Q7Z434"
3773,"P57721","Q9UKA9"
3784,"P13010","Q14204"
3795,"Q00005","Q96M94"
3799,"Q9UHX1","Q9UKA9"
3800,"Q9BWF3","Q9UKA9"
3801,"B4DF66","Q9UKA9"
3802,"A0A024RDB4","Q9UKA9"
3815,"O14561","Q9H0P0"
3816,"O60784","Q9UKA9"
3852,"Q13344","Q9UKA9"
3900,"P61956","Q9UKA9"
3901,"A0A0A0MR66","Q9UKA9"
4036,"Q8WVM8","Q92993"
4174,"Q14527","Q96EP1"
4355,"A0A024R3Z2","Q9UNS2"
4380,"A0A024R3Z2","Q9C035"
4461,"P0CG48","Q9UHY7"
4462,"P0CG48","P28360"
4495,"P20618","Q99460"
4647,"P0CG48","Q9UGH3"
4664,"P0CG48","Q14011"
4811,"P55212","Q13077"
4836,"Q9UNS2","Q9Y4B6"
5151,"P05166","P0CG48"
5169,"P0CG48","P13674"
5344,"O00159","Q9ULZ3"
5835,"Q4VCS5","Q9Y4B5"
5884,"A0A087X1W2","Q14011"
5908,"P0CG48","Q9NVV4"
6043,"P01127","Q9Y5Y7"
6067,"P0CG48","Q9UKA9"
6095,"P09936","P0CG48"
6169,"A0A024RE22","Q7Z434"
6199,"P0CG48","P82650"
6261,"Q15366","Q7Z434"
6271,"O00159","P0CG48"
6311,"Q7Z434","Q86WV6"
