Uniprot,GeneSymbol
Q9BWD1,ACAT2
P11117,ACP2
P00325,ADH1B
O00253,AGRP
O95831,AIFM1
Q02952,AKAP12
Q13023,AKAP6
P13196,ALAS1
P00352,ALDH1A1
O15123,ANGPT2
P08133,ANXA6
P61966,AP1S1
O15033,AREL1
Q6ZNE5,ATG14
P05023,ATP1A1
Q01814,ATP2B2
P36543,ATP6V1E1
P20160,AZU1
Q8N9N5,BANP
Q14457,BECN1
Q12934,BFSP1
P34820,BMP8B
P07738,BPGM
Q9HAW0,BRF2
Q9Y2F9,BTBD3
P02746,C1QB
Q96GE6,CALML4
P55212,CASP6
P55210,CASP7
Q4G0X9,CCDC40
Q96ER9,CCDC51
P11049,CD37
P09326,CD48
Q9UIB8,CD84
P19835,CEL
Q14011,CIRBP
O15247,CLIC2
Q9UNS2,COPS3
Q92905,COPS5
Q9NZJ6,COQ3
Q5TZA2,CROCC
Q8TE69,CXorf40A
O00399,DCTN6
Q86XP3,DDX42
P25685,DNAJB1
O75937,DNAJC8
Q14204,DYNC1H1
O14576,DYNC1I1
Q56P03,EAPP
P52798,EFNA4
Q9H5J4,ELOVL6
Q9UHY7,ENOPH1
Q06265,EXOSC9
P05413,FABP3
Q9NWS6,FAM118A
Q9UKT8,FBXW2
P22830,FECH
P49789,FHIT
Q8NFG4,FLCN
Q9NZU1,FLRT1
P17948,FLT1
Q13467,FZD5
Q9H0R8,GABARAPL1
Q96RP7,GAL3ST4
P55040,GEM
Q14527,HLTF
Q96FZ2,HMCES
Q13151,HNRNPA0
P52272,HNRNPM
Q5SSJ5,HP1BP3
P34931,HSPA1L
P41252,IARS
Q9NSE4,IARS2
P08069,IGF1R
Q9NRM6,IL17RB
Q96G21,IMP4
Q969R8,ITFG2
Q9BY32,ITPA
Q6NYC1,JMJD6
P51787,KCNQ1
Q9NXV2,KCTD5
Q8N4N3,KLHL36
P18627,LAG3
P55268,LAMB2
O15165,LDLRAD4
Q6P1Q0,LETMD1
Q9BTT6,LRRC1
Q9Y5Y7,LYVE1
P46821,MAP1B
Q9GZQ8,MAP1LC3B
Q7Z434,MAVS
P40925,MDH1
Q9BV79,MECR
Q9H8H3,METTL7A
Q13361,MFAP5
O95140,MFN2
Q9P015,MRPL15
P82650,MRPS22
Q9H2W1,MS4A6A
P28360,MSX1
Q8N339,MT1M
Q9Y4B5,MTCL1
Q9NVV4,MTPAP
O00159,MYO1C
Q6NZ67,MZT2B
O14561,NDUFAB1
P28331,NDUFS1
O75489,NDUFS3
P19404,NDUFV2
Q9BPW8,NIPSNAP1
A6NHN6,NPIPB15
Q15406,NR6A1
Q9Y4C0,NRXN3
P13674,P4HA1
Q96IZ0,PAWR
P05166,PCCB
O75381,PEX14
P18669,PGAM1
P49763,PGF
Q9NXJ5,PGPEP1
O00264,PGRMC1
Q00169,PITPNA
Q96CS7,PLEKHB2
Q99541,PLIN2
P30154,PPP2R1B
Q00005,PPP2R2B
O43663,PRC1
O43172,PRPF4
P25786,PSMA1
Q99460,PSMD1
Q9UKA9,PTBP2
P48651,PTDSS1
Q93096,PTP4A1
P43351,RAD52
P28749,RBL1
P98179,RBM3
Q9H0Z9,RBM38
P18754,RCC1
O75452,RDH16
Q6PJF5,RHBDF2
Q9NQC3,RTN4
Q13761,RUNX3
P57060,RWDD2B
Q14151,SAFB2
P49591,SARS
Q8WVM8,SCFD1
Q96C92,SDCCAG3
P31040,SDHA
Q13530,SERINC3
P50454,SERPINH1
Q9UJW9,SERTAD3
Q6UXD5,SEZ6L2
O60239,SH3BP5
Q9UGH3,SLC23A2
Q96AG3,SLC25A46
P30531,SLC6A1
P82251,SLC7A9
P19634,SLC9A1
O43541,SMAD6
P37840,SNCA
O15370,SOX12
Q9UH36,SRRD
Q9HBF5,ST20
Q9UNP4,ST3GAL5
P15907,ST6GAL1
Q14765,STAT4
P31948,STIP1
Q9BT88,SYT11
O00268,TAF4
P17542,TAL1
Q16635,TAZ
O95947,TBX6
P15923,TCF3
Q9Y3Q3,TMED3
Q9BTX3,TMEM208
Q9BRR3,TMEM246
O95379,TNFAIP8
Q9UBN6,TNFRSF10D
Q15388,TOMM20
Q9H496,TOR1AIP2
Q9C035,TRIM5
Q6DKK2,TTC19
P23258,TUBG1
O00295,TULP2
P09936,UCHL1
P98155,VLDLR
O75351,VPS4B
Q9BQA1,WDR77
Q96HA8,WDYHV1
Q7Z2W4,ZC3HAV1
Q9ULU4,ZMYND8
Q9UEG4,ZNF629
