"Gene.symbol","Cell.type","SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","Stress","TopologicalCoefficient","PDMalacards","DEG"
"ACAA2","Astrocytes",16895,4.04187817,0,0.24740973,0,1,7,"false","ACAA2",57,1,0,0,0.66201354,"false",0,0,0,FALSE,FALSE
"ACD","Neurons",16589,4.04737733,0,0.24707358,0,1,7,"false","ACD",78,1,0,0,0.66140252,"false",0,0,0,FALSE,FALSE
"AHCYL1","Astrocytes",16147,4.04737733,0,0.24707358,0,1,7,"false","AHCYL1",78,1,0,0,0.66140252,"false",0,0,0,FALSE,FALSE
"AIP","Neurons",13801,4.04737733,0,0.24707358,0,1,7,"false","AIP",78,1,0,0,0.66140252,"false",0,0,0,FALSE,FALSE
"AMOT","Astrocytes",13430,4.26649746,0.00046243,0.2343843,0,2,7,"false","AMOT",46.5,2,0,0,0.63705584,"false",0,8090,0.5,FALSE,FALSE
"AP2A2","Neurons",16777,4.12055838,0.0033798,0.24268556,0,2,7,"false","AP2A2",24,2,0,0,0.65327129,"false",0,302392,0.5,FALSE,FALSE
"APOE","Astrocytes",17399,4.14763113,0,0.24110148,0,2,7,"false","APOE",10,2,0,1,0.65026321,"false",0,0,0,TRUE,FALSE
"ATG16L1","Neurons",18396,4.03384095,0,0.24790268,0,1,6,"false","ATG16L1",44,1,0,0,0.66290656,"false",0,0,0,FALSE,FALSE
"ATP13A2","Neurons",18403,4.17597293,0,0.23946515,0,1,7,"false","ATP13A2",7,1,0,0,0.64711412,"false",0,0,0,FALSE,FALSE
"BCL7A","Neurons",19562,4.10956007,0,0.24333505,0,1,7,"false","BCL7A",38,1,0,0,0.65449333,"false",0,0,0,FALSE,FALSE
"BIRC3","Endothelial",13925,3.93358714,0.00022385,0.25422088,0,2,6,"false","BIRC3",56.5,2,0,0,0.67404587,"false",0,8486,0.50917431,FALSE,FALSE
"BLNK","Microglia",15888,3.99365482,0,0.2503972,0,1,6,"false","BLNK",62,1,0,0,0.66737169,"false",0,0,0,FALSE,FALSE
"BMPR1B","Astrocytes",18119,4.07910321,0,0.24515192,0,1,6,"false","BMPR1B",51,1,0,0,0.65787742,"false",0,0,0,FALSE,FALSE
"CAPN3","Oligodendrocytes",18831,3.76692047,0.00142997,0.26546884,0,2,6,"false","CAPN3",93,2,0,0,0.69256439,"false",0,242630,0.5,FALSE,FALSE
"CD84","Microglia",13257,3.19204738,0.00193263,0.31327856,0,8,6,"false","CD84",26.2,8,0,2,0.75643918,"false",0,82120,0.24950495,FALSE,TRUE
"CDK5","Neurons",13780,3.8785956,0.00048669,0.25782528,0,4,6,"false","CDK5",56.33333333,4,0,1,0.68015604,"false",0,53922,0.35470085,TRUE,FALSE
"CHGB","Neurons",16059,4.14043993,1.653e-05,0.24152023,0,3,7,"false","CHGB",17,3,0,1,0.65106223,"false",0,776,0.51612903,FALSE,FALSE
"CLU","Astrocytes",16952,3.85956007,0.00012635,0.25909689,0,2,6,"false","CLU",58,2,0,0,0.6822711,"false",0,7822,0.50442478,FALSE,FALSE
"CNP","Oligodendrocytes",17012,3.97588832,0,0.25151612,0,1,6,"false","CNP",58,1,0,0,0.66934574,"false",0,0,0,FALSE,FALSE
"CRMP1","Neurons",17795,3.97546531,0.00018756,0.25154288,0,3,7,"false","CRMP1",30.66666667,3,0,0,0.66939274,"false",0,6506,0.34496124,FALSE,FALSE
"CRYAB","Oligodendrocytes",15540,4.03384095,0,0.24790268,0,1,6,"false","CRYAB",44,1,0,0,0.66290656,"false",0,0,0,FALSE,FALSE
"DAB1","Neurons",14131,3.98434856,0.00028383,0.25098206,0,3,6,"false","DAB1",48,3,0,1,0.66840572,"false",0,55534,0.5,FALSE,FALSE
"DCC","Neurons",18038,4.1641286,0,0.24014628,0,1,7,"false","DCC",13,1,0,0,0.64843016,"false",0,0,0,FALSE,FALSE
"DLX5","Neurons",13762,4.11886633,0,0.24278525,0,1,7,"false","DLX5",23,1,0,0,0.6534593,"false",0,0,0,FALSE,FALSE
"EEF1A2","Neurons",13638,3.82360406,0,0.26153336,0,1,6,"false","EEF1A2",171,1,0,0,0.68626622,"false",0,0,0,FALSE,FALSE
"EPHA10","Neurons",19427,4.90905245,0,0.2037053,0,1,8,"false","EPHA10",40,1,0,0,0.56566084,"false",0,0,0,FALSE,FALSE
"EPHA3","Neurons",16534,5.99957699,0,0.16667842,0,1,8,"false","EPHA3",8,1,0,0,0.44449145,"false",0,0,0,FALSE,FALSE
"EPHA5","Neurons",18010,5.99957699,0,0.16667842,0,1,8,"false","EPHA5",8,1,0,0,0.44449145,"false",0,0,0,FALSE,FALSE
"EPHA7","Neurons",17718,5.99957699,0,0.16667842,0,2,8,"false","EPHA7",8,2,0,1,0.44449145,"false",0,0,0,FALSE,FALSE
"ETS1","Endothelial",18382,4.00634518,0,0.24960405,0,1,6,"false","ETS1",51,1,0,0,0.66596165,"false",0,0,0,FALSE,FALSE
"FABP3","Neurons",15769,3.18443316,0.00731015,0.31402763,0,13,6,"false","FABP3",9.91666667,13,0,1,0.7572852,"false",0,258944,0.0874183,FALSE,TRUE
"FGF2","Astrocytes",13628,3.82360406,0,0.26153336,0,1,6,"false","FGF2",171,1,0,0,0.68626622,"false",0,0,0,FALSE,FALSE
"GNA14","Astrocytes",16190,4.01353638,0,0.24915683,0,1,7,"false","GNA14",64,1,0,0,0.66516262,"false",0,0,0,FALSE,FALSE
"GNB5","Neurons",17894,6.15228426,0,0.16254125,0,1,9,"false","GNB5",3,1,0,0,0.42752397,"false",0,0,0,FALSE,FALSE
"GPR37","Oligodendrocytes",14501,4.00888325,0,0.24944603,0,1,6,"false","GPR37",61,1,0,0,0.66567964,"false",0,0,0,TRUE,FALSE
"HLA-DPB1","Microglia",19675,4.04187817,0,0.24740973,0,1,7,"false","HLA-DPB1",57,1,0,0,0.66201354,"false",0,0,0,FALSE,FALSE
"HPRT1","Neurons",15787,3.94077834,0.00051408,0.25375698,0,2,6,"false","HPRT1",56,2,0,0,0.67324685,"false",0,113344,0.5,FALSE,FALSE
"IFIH1","Endothelial",16838,4.00380711,0,0.24976228,0,2,6,"false","IFIH1",63,2,0,1,0.66624365,"false",0,0,0,FALSE,FALSE
"IGF1","Neurons",13221,3.99788494,0,0.25013226,0,4,6,"false","IGF1",82,4,0,1,0.66690167,"false",0,0,0,FALSE,FALSE
"IGFBP3","Neurons",18129,3.99788494,0,0.25013226,0,1,6,"false","IGFBP3",82,1,0,0,0.66690167,"false",0,0,0,FALSE,FALSE
"IKZF1","Microglia",19159,3.86040609,8.911e-05,0.25904011,0,2,6,"false","IKZF1",86,2,0,0,0.6821771,"false",0,14970,0.51204819,FALSE,FALSE
"IQGAP2","Neurons",15215,3.97588832,0,0.25151612,0,1,6,"false","IQGAP2",58,1,0,0,0.66934574,"false",0,0,0,FALSE,FALSE
"IRS1","Neurons",18735,3.99788494,0,0.25013226,0,1,6,"false","IRS1",82,1,0,0,0.66690167,"false",0,0,0,FALSE,FALSE
"ITGA1","Endothelial",19334,4.18401015,0,0.23900516,0,1,7,"false","ITGA1",12,1,0,0,0.64622109,"false",0,0,0,FALSE,FALSE
"ITGB4","Astrocytes",19332,4.18401015,0,0.23900516,0,1,7,"false","ITGB4",12,1,0,0,0.64622109,"false",0,0,0,FALSE,FALSE
"JAK2","Neurons",17556,3.95473773,0.00056608,0.25286127,0,2,6,"false","JAK2",58.5,2,0,0,0.67169581,"false",0,77940,0.5,FALSE,FALSE
"KCNH1","Neurons",13740,4.60448393,0,0.2171796,0,2,8,"false","KCNH1",86,2,0,1,0.59950179,"false",0,0,0,FALSE,FALSE
"KCNH2","Neurons",16156,4.04737733,0,0.24707358,0,1,7,"false","KCNH2",78,1,0,0,0.66140252,"false",0,0,0,FALSE,FALSE
