"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"13218","4.16751269","8.4602E-4","0.23995128","0.33333333","7","6","false","PGF","5.0","7","0","3","0.64805415","false","0","PGF","29672","0.38888889"
"13219","5.16708968","0.0","0.19353254","0.0","2","7","false","NRP2","3.0","2","0","1","0.53699004","false","0","NRP2","0","0.0"
"13221","3.99788494","0.0","0.25013226","0.0","4","6","false","IGF1","82.0","4","0","1","0.66690167","false","0","IGF1","0","0.0"
"13222","2.99830795","0.05037383","0.33352144","0.0","96","5","false","IGF1R","4.37804878","96","0","11","0.77796578","false","0","IGF1R","3939666","0.02937434"
"13224","3.4822335","0.02687028","0.28717201","0.0070922","57","6","false","TCF3","3.70833333","57","0","8","0.72419628","false","0","TCF3","564872","0.02585565"
"13225","4.48181049","0.0","0.22312412","0.0","2","7","false","RUNX1T1","48.0","2","0","1","0.61313217","false","0","RUNX1T1","0","0.0"
"13227","3.9894247","0.0","0.25066271","0.0","3","7","false","MLF1","62.0","3","0","1","0.6678417","false","0","MLF1","0","0.0"
"13228","2.98984772","0.03189821","0.3344652","0.00528821","67","6","false","COPS3","6.19354839","67","0","4","0.77890581","false","0","COPS3","2445120","0.04229108"
"13231","3.70812183","0.00218083","0.2696783","0.0","5","6","false","PPP2CA","65.0","5","0","1","0.69909757","false","0","PPP2CA","255474","0.2601626"
"13232","3.80118443","0.01480478","0.2630759","0.0","37","7","false","PPP2R1B","2.42857143","37","0","2","0.68875729","false","0","PPP2R1B","2526168","0.04329004"
"13234","4.00634518","0.00674814","0.24960405","0.0","3","6","false","EPHA2","44.0","3","0","1","0.66596165","false","0","EPHA2","281760","0.5"
"13235","5.0","0.00591465","0.2","0.0","11","7","false","EFNA4","1.125","11","0","3","0.55555556","false","0","EFNA4","246596","0.125"
"13237","3.77580372","0.00105453","0.26484428","0.0","2","6","false","PXN","105.0","2","0","0","0.69157736","false","0","PXN","88294","0.5"
"13238","3.65905245","0.01707597","0.2732948","0.0","41","7","false","HNRNPM","3.33333333","41","0","2","0.70454973","false","0","HNRNPM","2827096","0.03196347"
