V1,V2,Gene1,Gene2
P05019,P08069,IGF1,IGF1R
P58340,Q9UNS2,MLF1,COPS3
A0A024QZA8,P52798,EPHA2,EFNA4
P48061,P61073,CXCL12,CXCR4
P49023,P52272,PXN,HNRNPM
O75381,P50542,PEX14,PEX5
P14209,P62937,CD99,PPIA
P62937,Q08209,PPIA,PPP3CA
P52798,Q6UWM0,EFNA4,EPHA6
P18206,Q8WVM8,VCL,SCFD1
P08069,P29353,IGF1R,SHC1
A0A024R328,P08069,PRKCD,IGF1R
Q92985,Q99836,IRF7,MYD88
Q8WVM8,Q9H0D6,SCFD1,XRN2
P08311,P55210,CTSG,CASP7
O95785,P56545,WIZ,CTBP2
J3KN16,P35998,ECPAS,PSMC2
P43351,P46783,RAD52,RPS10
P23258,P46783,TUBG1,RPS10
P0CG48,Q13239,UBC,SLA
P62937,P78318,PPIA,IGBP1
O94919,P0CG48,ENDOD1,UBC
Q9C035,Q9UK80,TRIM5,USP21
Q9BYJ4,Q9C035,TRIM34,TRIM5
Q7Z7H8,Q9P015,MRPL10,MRPL15
O15260,Q5SSJ5,SURF4,HP1BP3
P23258,P55084,TUBG1,HADHB
O00115,P0CG48,DNASE2,UBC
P23258,Q92930,TUBG1,RAB8B
O00257,P56545,CBX4,CTBP2
P62837,Q9C035,UBE2D2,TRIM5
O95379,Q8NBZ0,TNFAIP8,INO80E
P32121,P46821,ARRB2,MAP1B
P32121,Q14204,ARRB2,DYNC1H1
O43172,P32121,PRPF4,ARRB2
P0CG48,Q14765,UBC,STAT4
P0CG48,Q16587,UBC,ZNF74
P34947,P35998,GRK5,PSMC2
O15123,P0CG48,ANGPT2,UBC
P0CG48,P19235,UBC,EPOR
P13010,Q14204,XRCC5,DYNC1H1
O14561,Q9H0P0,NDUFAB1,NT5C3A
Q8WVM8,Q92993,SCFD1,KAT5
A0A024R3Z2,P56545,SUMO1,CTBP2
A0A024R3Z2,Q9UNS2,SUMO1,COPS3
A0A024R3Z2,Q9C035,SUMO1,TRIM5
P0CG48,P28360,UBC,MSX1
P20618,P51665,PSMB1,PSMD7
O75362,P0CG48,ZNF217,UBC
P55212,Q13077,CASP6,TRAF1
Q9UNS2,Q9Y4B6,COPS3,DCAF1
P0CG48,P13674,UBC,P4HA1
P0CG48,Q9NVV4,UBC,MTPAP
P62937,Q9BY43,PPIA,CHMP4A
P01127,Q9Y5Y7,PDGFB,LYVE1
P09601,P0CG48,HMOX1,UBC
Q15843,Q96G21,NEDD8,IMP4
P0CG48,Q5SSJ5,UBC,HP1BP3
O43172,Q53GS9,PRPF4,USP39
P0CG48,Q9BXY0,UBC,MAK16
A0A024R5E6,Q9C035,MAP3K11,TRIM5
P0CG48,P19634,UBC,SLC9A1
O43541,P0CG48,SMAD6,UBC
P23258,Q06323,TUBG1,PSME1
A4D275,P23258,ARPC1B,TUBG1
O43303,P23258,CCP110,TUBG1
P23258,Q96Q15,TUBG1,SMG1
A0A087X1W2,O95947,PRMT1,TBX6
O95947,P50222,TBX6,MEOX2
O95816,P23258,BAG2,TUBG1
P23258,P27708,TUBG1,CAD
P23258,P78371,TUBG1,CCT2
P23258,Q59H77,TUBG1,CCT3
P23258,P62269,TUBG1,RPS18
P23258,Q08554,TUBG1,DSC1
A0A0A6YYL6,P23258,RPL17-C18orf32,TUBG1
P23258,Q71UI9,TUBG1,H2AFV
P23258,Q96BA7,TUBG1,HNRNPU
P23258,P38646,TUBG1,HSPA9
A0A024R3X4,P23258,HSPD1,TUBG1
O14654,P23258,IRS4,TUBG1
P23258,Q16787,TUBG1,LAMA3
P23258,P36776,TUBG1,LONP1
A0A024R952,P23258,PKP1,TUBG1
P23258,P40429,TUBG1,RPL13A
P23258,Q9UNX3,TUBG1,RPL26L1
P23258,P62899,TUBG1,RPL31
P18124,P23258,RPL7,TUBG1
P08708,P23258,RPS17,TUBG1
P23258,Q9Y5L4,TUBG1,TIMM13
P23258,Q8IZJ1,TUBG1,UNC5B
P23258,Q9NTK5,TUBG1,OLA1
P00533,P23258,EGFR,TUBG1
P23258,Q9NS23,TUBG1,RASSF1
P56545,Q32MQ0,CTBP2,ZNF750
P07498,P23258,CSN3,TUBG1
P23258,Q13363,TUBG1,CTBP1
O43172,P0CG48,PRPF4,UBC
P0CG48,P48651,UBC,PTDSS1
P0CG48,Q8WVM8,UBC,SCFD1
B4DGC5,Q92985,IQSEC1,IRF7
P0CG48,Q9BWD1,UBC,ACAT2
P0CG48,Q6NYC1,UBC,JMJD6
O00325,P32320,PTGER3,CDA
G5EA09,P32320,SDCBP,CDA
P32320,Q96CS7,CDA,PLEKHB2
Q6P1W5,Q96CS7,C1orf94,PLEKHB2
P55854,Q92985,SUMO3,IRF7
P0CG48,P23258,UBC,TUBG1
P0CG48,Q9C035,UBC,TRIM5
P0CG48,P61073,UBC,CXCR4
P0CG48,Q9UNS2,UBC,COPS3
P56545,P62424,CTBP2,RPL7A
P0CG48,Q8TCT0,UBC,CERK
O75489,P0CG48,NDUFS3,UBC
A0A024R475,P13674,CUL3,P4HA1
P13674,Q92985,P4HA1,IRF7
P08133,P0CG48,ANXA6,UBC
P0CG48,Q92985,UBC,IRF7
P0CG48,P46821,UBC,MAP1B
P0CG48,P56545,UBC,CTBP2
A0A024R7W9,P34931,COPS5,HSPA1L
A0A024R7W9,Q9P015,COPS5,MRPL15
P0CG48,P35998,UBC,PSMC2
P0CG48,P51665,UBC,PSMD7
O15524,P23258,SOCS1,TUBG1
P23258,Q9GZM8,TUBG1,NDEL1
P23258,P39060,TUBG1,COL18A1
P23258,Q96SN8,TUBG1,CDK5RAP2
P16219,Q92985,ACADS,IRF7
O43172,P09651,PRPF4,HNRNPA1
A0A0A6YYL6,P56545,RPL17-C18orf32,CTBP2
P23258,P48431,TUBG1,SOX2
P23258,Q99832,TUBG1,CCT7
P23258,P40227,TUBG1,CCT6A
P23258,Q9Y3Z3,TUBG1,SAMHD1
P23258,P48643,TUBG1,CCT5
O95947,P25788,TBX6,PSMA3
A0A024R9P0,P23258,CEP27,TUBG1
A0A024RBE5,P23258,NEDD1,TUBG1
P09038,P23258,FGF2,TUBG1
P23258,Q9BW61,TUBG1,DDA1
P23258,P68104,TUBG1,EEF1A1
P15924,P23258,DSP,TUBG1
A0A024R9Y7,P23258,MAGED2,TUBG1
P23258,Q05639,TUBG1,EEF1A2
P07900,P23258,HSP90AA1,TUBG1
P51787,Q96CW1,KCNQ1,AP2M1
A0A024RD80,P23258,HSP90AB1,TUBG1
P23258,Q53HF2,TUBG1,HSPA8
A0A024R8L0,P23258,MRPS7,TUBG1
A2RUM7,P23258,RPL5,TUBG1
P23258,P62906,TUBG1,RPL10A
B1AQP2,P23258,PFDN2,TUBG1
A0A024RBK3,P23258,RPL6,TUBG1
P23258,P62263,TUBG1,RPS14
A0A024RBS2,P23258,RPLP0,TUBG1
P23258,P23396,TUBG1,RPS3
P23258,P62841,TUBG1,RPS15
B2ZZ89,P23258,SPTBN1,TUBG1
P23258,P61247,TUBG1,RPS3A
A2A3R6,P23258,RPS6,TUBG1
P23258,Q9BSJ2,TUBG1,TUBGCP2
P04637,P23258,TP53,TUBG1
B4E3T4,O95947,RBPMS,TBX6
O43172,P05067,PRPF4,APP
O43172,Q9BSJ2,PRPF4,TUBGCP2
O43172,Q99471,PRPF4,PFDN5
O43172,Q13107,PRPF4,USP4
O43172,Q9UK45,PRPF4,LSM7
O43172,Q9Y4E8,PRPF4,USP15
A0A024RE06,P62937,LIG4,PPIA
P23258,Q76KD6,TUBG1,SPATC1
O60260,P23258,PRKN,TUBG1
O95379,Q12974,TNFAIP8,PTP4A2
P23258,Q5TGZ0,TUBG1,MINOS1
A0A024RB77,P23258,CDK2,TUBG1
P60369,Q9UGN4,KRTAP10-3,CD300A
O43172,O60925,PRPF4,PFDN1
O00115,P23921,DNASE2,RRM1
P35998,Q9NRC8,PSMC2,SIRT7
P08133,Q9NRC8,ANXA6,SIRT7
P48431,Q9UNS2,SOX2,COPS3
P48431,Q9P015,SOX2,MRPL15
P48431,Q8WVM8,SOX2,SCFD1
A0A024R1N4,P56545,XRCC6,CTBP2
P04271,P08133,S100B,ANXA6
P55072,Q9UNS2,VCP,COPS3
P34931,Q549C5,HSPA1L,MST065
