hgnc_symbol,uniprotswissprot
ABCF1,Q8NE71
ACAT2,Q9BWD1
ACP2,P11117
AKAP12,Q02952
ALAS1,P13196
ALOX5AP,P20292
ANGPT2,O15123
ANXA6,P08133
AP1S1,P61966
AREL1,O15033
ATP2B2,Q01814
AZU1,P20160
BFSP1,Q12934
BPGM,P07738
BTBD3,Q9Y2F9
C1QB,P02746
C3AR1,Q16581
CASP6,P55212
CASP7,P55210
CCDC40,Q4G0X9
CCDC51,Q96ER9
CD14,P08571
CD163,Q86VB7
CD300A,Q9UGN4
CD37,P11049
CDA,P32320
CERK,Q8TCT0
CLIC2,O15247
CLK1,P49759
COPS3,Q9UNS2
CTBP2,P56545
CXCR4,P61073
CXorf40A,Q8TE69
DCTPP1,Q9H773
DNASE2,O00115
DOCK2,Q92608
DYNC1H1,Q14204
EFNA4,P52798
ELOVL6,Q9H5J4
ENDOD1,O94919
ENTPD1,P49961
EPOR,P19235
FAM118A,Q9NWS6
FBXW2,Q9UKT8
FECH,P22830
FHIT,P49789
FLCN,Q8NFG4
FLT1,P17948
FMO5,P49326
FZD5,Q13467
HMCES,Q96FZ2
HMOX1,P09601
HNRNPM,P52272
HP1BP3,Q5SSJ5
HSPA1L,P34931
IARS,P41252
IGF1R,P08069
IL17RB,Q9NRM6
IMP4,Q96G21
IRF7,Q92985
ITPA,Q9BY32
JMJD6,Q6NYC1
KCNQ1,P51787
KLHL36,Q8N4N3
KRI1,Q8N9T8
LAG3,P18627
LAMB2,P55268
LETMD1,Q6P1Q0
LILRA2,Q8N149
LLGL2,Q6P1M3
LPAR2,Q9HBW0
LRRC1,Q9BTT6
LYVE1,Q9Y5Y7
MAK16,Q9BXY0
MAP1B,P46821
MECR,Q9BV79
MFN2,O95140
MIEF1,Q9NQG6
MRPL15,Q9P015
MRTO4,Q9UKD2
MS4A6A,Q9H2W1
MSX1,P28360
MTPAP,Q9NVV4
NDUFAB1,O14561
NDUFS3,O75489
NFE2,Q16621
NME1,P15531
NPIPB15,A6NHN6
NPL,Q9BXD5
NR6A1,Q15406
NRXN3,Q9HDB5
P4HA1,P13674
PARP16,Q8N5Y8
PAWR,Q96IZ0
PEX14,O75381
PGPEP1,Q9NXJ5
PGRMC1,O00264
PLEKHB2,Q96CS7
PLIN2,Q99541
PPIA,P62937
PRC1,O43663
PRPF4,O43172
PRRG4,Q9BZD6
PSMC2,P35998
PSMD7,P51665
PTDSS1,P48651
RAD52,P43351
RBM38,Q9H0Z9
RIPK2,O43353
RNASEH1,O60930
RWDD2B,P57060
SAFB2,Q14151
SARS,P49591
SCFD1,Q8WVM8
SERINC3,Q13530
SERPINA1,P01009
SLA,Q13239
SLC6A1,P30531
SLC9A1,P19634
SMAD6,O43541
SOX12,O15370
ST3GAL5,Q9UNP4
STAT4,Q14765
STIP1,P31948
TBX6,O95947
TMEM246,Q9BRR3
TNFAIP8,O95379
TOR1AIP2,Q8NFQ8
TOR1AIP2,Q9H496
TRIM5,Q9C035
TUBG1,P23258
TULP2,O00295
VSIG4,Q9Y279
WDR77,Q9BQA1
WDYHV1,Q96HA8
ZNF217,O75362
ZNF516,Q92618
ZNF629,Q9UEG4
ZNF74,Q16587
